file_offset	string
0x13842	__UNIQUE_ID_name334
0x13856	$x.34
0x1385c	$d.124
0x13863	$d.24
0x13869	$x.114
0x13870	$d.14
0x13876	$x.104
0x1387d	$d.4
0x13882	hyn_gesture_data.4
0x13895	$d.93
0x1389b	$d.83
0x138a1	$d.73
0x138a7	$d.63
0x138ad	$d.53
0x138b3	$d.43
0x138b9	__UNIQUE_ID_vermagic333
0x138d1	$d.33
0x138d7	$d.123
0x138de	$x.23
0x138e4	$d.113
0x138eb	$x.13
0x138f1	$d.103
0x138f8	$d.3
0x138fd	hyn_gesture_data.3
0x13910	$x.92
0x13916	$x.82
0x1391c	$x.72
0x13922	$x.62
0x13928	$x.52
0x1392e	$x.42
0x13934	$x.32
0x1393a	$x.122
0x13941	$d.22
0x13947	$x.112
0x1394e	$d.12
0x13954	$x.102
0x1395b	$d.2
0x13960	hyn_gesture_data.2
0x13973	$d.91
0x13979	$d.81
0x1397f	$d.71
0x13985	__UNIQUE_ID_license461
0x1399c	$d.61
0x139a2	$d.51
0x139a8	$d.41
0x139ae	$d.31
0x139b4	$d.121
0x139bb	$x.21
0x139c1	$d.111
0x139c8	$x.11
0x139ce	$d.101
0x139d5	$d.1
0x139da	hyn_gesture_data.1
0x139ed	$x.90
0x139f3	$x.80
0x139f9	$x.70
0x139ff	__UNIQUE_ID_description460
0x13a1a	$x.60
0x13a20	$x.50
0x13a26	$x.40
0x13a2c	$d.30
0x13a32	$x.120
0x13a39	$d.20
0x13a3f	_note_10
0x13a48	$x.110
0x13a4f	$d.10
0x13a55	$x.100
0x13a5c	hyn_gesture_data.0
