object	stock_section	stock_offset	stock_size	stock_content_size	recon_section	recon_offset	recon_size	recon_content_size	stock_content_sha256	recon_content_sha256	stock_relocation_slots	recon_relocation_slots	semantic_role	classification	residual
_note_10	.note.Linux	0x18	24	24	.note.Linux	0x18	24	24	f50d12dbcecdbd59ca68819b1f403f495da5160b18fd94e48a918fd6d360972c	f50d12dbcecdbd59ca68819b1f403f495da5160b18fd94e48a918fd6d360972c			module metadata/object	BYTE_IDENTICAL	NONE
wl2864c_dt_match	.rodata	0x0	400	400	.rodata	0x70	400	400	b50c0de10c57b8d8a8659c1a7833049445988c7850c0eff4df7aadf0a5bce9a1	b50c0de10c57b8d8a8659c1a7833049445988c7850c0eff4df7aadf0a5bce9a1			OF match table	BYTE_IDENTICAL	NONE
wl2864c_id	.rodata	0x190	64	64	.rodata	0x200	64	64	2665e9b31ed01a2dc59da9eef27911d176ca1937b1982528d44758f60523867c	2665e9b31ed01a2dc59da9eef27911d176ca1937b1982528d44758f60523867c			I2C ID table	BYTE_IDENTICAL	NONE
wl2864c_fops	.rodata	0x1d0	272	272	.rodata	0x240	272	272	e4d879a3407de578f579dfab4366fcea75a6649c683d9efe4f056f6505437574	e4d879a3407de578f579dfab4366fcea75a6649c683d9efe4f056f6505437574	+0x0:R_AARCH64_ABS64:__this_module;+0x8:R_AARCH64_ABS64:wl2864c_llseek;+0x10:R_AARCH64_ABS64:wl2864c_read;+0x18:R_AARCH64_ABS64:wl2864c_write;+0x70:R_AARCH64_ABS64:wl2864c_open	+0x0:R_AARCH64_ABS64:__this_module;+0x8:R_AARCH64_ABS64:wl2864c_llseek;+0x10:R_AARCH64_ABS64:wl2864c_read;+0x18:R_AARCH64_ABS64:wl2864c_write;+0x70:R_AARCH64_ABS64:wl2864c_open	file_operations table	BYTE_IDENTICAL	NONE
__crc_will_ldo_en	__kcrctab	0x0	0	4	__kcrctab	0x0	0	4	7a1d0358f714365d967f7f129778e352df2506d9e14297d62e4bd28977f8e062	7a1d0358f714365d967f7f129778e352df2506d9e14297d62e4bd28977f8e062			export CRC	BYTE_IDENTICAL	NONE
__crc_will_ldo_vout	__kcrctab	0x4	0	4	__kcrctab	0x4	0	4	2b1034e13523ddd0f758c0f7a1f97bee6ce8fe4b8c5c96bd09b0a61bcaf3b899	2b1034e13523ddd0f758c0f7a1f97bee6ce8fe4b8c5c96bd09b0a61bcaf3b899			export CRC	BYTE_IDENTICAL	NONE
__ksymtab_will_ldo_en	__ksymtab	0x0	0	12	__ksymtab	0x0	0	12	15ec7bf0b50732b49f8228e07d24365338f9e3ab994b00af08e5a3bffe55fd8b	15ec7bf0b50732b49f8228e07d24365338f9e3ab994b00af08e5a3bffe55fd8b			export symbol entry	BYTE_IDENTICAL	NONE
__ksymtab_will_ldo_vout	__ksymtab	0xc	0	12	__ksymtab	0xc	0	12	15ec7bf0b50732b49f8228e07d24365338f9e3ab994b00af08e5a3bffe55fd8b	15ec7bf0b50732b49f8228e07d24365338f9e3ab994b00af08e5a3bffe55fd8b			export symbol entry	BYTE_IDENTICAL	NONE
__kstrtabns_will_ldo_vout	__ksymtab_strings	0x0	0	1	__ksymtab_strings	0x0	0	1	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d			export namespace	BYTE_IDENTICAL	NONE
__kstrtabns_will_ldo_en	__ksymtab_strings	0x0	0	1	__ksymtab_strings	0x0	0	1	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d			export namespace	BYTE_IDENTICAL	NONE
__kstrtab_will_ldo_en	__ksymtab_strings	0x1	0	12	__ksymtab_strings	0x1	0	12	7d8ab97f51a6e02793bcc37c96a9bcd37ba6016e28bbd78c6e0dd31d7f583bc1	7d8ab97f51a6e02793bcc37c96a9bcd37ba6016e28bbd78c6e0dd31d7f583bc1			export name	BYTE_IDENTICAL	NONE
__kstrtab_will_ldo_vout	__ksymtab_strings	0xd	0	14	__ksymtab_strings	0xd	0	14	6e75137a0e6c828d29c186a4a1e503937b0f7573a52cb1ebb35f3805341c1fb5	6e75137a0e6c828d29c186a4a1e503937b0f7573a52cb1ebb35f3805341c1fb5			export name	BYTE_IDENTICAL	NONE
____versions	__versions	0x0	1728	1728	__versions	0x0	1728	1728	ff2a02b4b8cee49c805f3aae1d884e100d91869eb1776286b5b1041871c841bd	ff2a02b4b8cee49c805f3aae1d884e100d91869eb1776286b5b1041871c841bd			27-entry MODVERSION table	BYTE_IDENTICAL	NONE
anon_wl2864c_floor	.rodata	0x2e0	28	28	.rodata	0x0	28	28	128cea30884cdcf9a54b7c12f100c5f2f10743ad837310200d5f9ac57501f3bd	128cea30884cdcf9a54b7c12f100c5f2f10743ad837310200d5f9ac57501f3bd			voltage conversion table	BYTE_IDENTICAL	NONE
anon_wl2864c_offset	.rodata	0x2fc	28	28	.rodata	0x1c	28	28	805d669c78470e6dd82ce9622b81b09baab423435749ccf05c4f4082556c4996	805d669c78470e6dd82ce9622b81b09baab423435749ccf05c4f4082556c4996			voltage conversion table	BYTE_IDENTICAL	NONE
anon_wl2868c_floor	.rodata	0x318	28	28	.rodata	0x38	28	28	450c65a38cfeb876f4aa8fe91b0a82ca38c1c9c9df397c88fa8f50d35a605513	450c65a38cfeb876f4aa8fe91b0a82ca38c1c9c9df397c88fa8f50d35a605513			voltage conversion table	BYTE_IDENTICAL	NONE
anon_wl2868c_offset	.rodata	0x334	28	28	.rodata	0x54	28	28	d83b4208eb90abdf5d6f9c2a8deecd484dce398d8b6fe55a103165fc6e6a335e	d83b4208eb90abdf5d6f9c2a8deecd484dce398d8b6fe55a103165fc6e6a335e			voltage conversion table	BYTE_IDENTICAL	NONE
