sha256,filename,module_name,locations,classification,classification_evidence
76c6ac7ed99045cf0550347e03a21112b6da38258669875bd18e0a31b3ac011e,mtk_perf_ioctl_magt.ko,mtk_perf_ioctl_magt,vendor_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; device_modules:drivers/misc/mediatek/performance
76ebbac99b0a748601216bf51bada84761504a875962f66d6fe090ab1bdba156,can-raw.ko,can_raw,system_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): kernel:net/can DIRECTORY_FALLBACK (alias=can-proto-1)
772a03c16ad952bb0bcb0f1b58aaf050a37fc2dca85ef10c3d55e0738b57083f,clk-mt6878-bus.ko,clk_mt6878_bus,vendor_boot_platform,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; device_modules:drivers/clk/mediatek
77aef22b818dbc19f2a06fbab9ccbeed901908dcc4e0eb75e3c2dbbe22f32c41,sub_vcm.ko,sub_vcm,vendor_dlkm,DIRECT_SOURCE_MATCH,"exact module name plus target-scoped hardware corroboration: device_modules:drivers/misc/mediatek/lens/vcm/v4l2/sub_vcm target-scoped (compatible=mediatek,sub_vcm)"
77baeee8fa7c01d9b6ad9b3a9743caa69aa61b840c3d565d5263d3e965d63eed,yft_tiny2c_usb.ko,yft_tiny2c_usb,vendor_dlkm,ULEFONE_ONLY,YFT/Ulefone USB/charger glue
78a2f3898fb4c1cd77170e73d87d1513906cf49abe74b232cf5e17dab7925246,nhc_hop.ko,nhc_hop,system_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; kernel:net/6lowpan
78c3a4aa75ddc6f79d6c1d98d5ad1eb64d3555f28e4ef37704a1d51f6a0d19f9,ppp_mppe.ko,ppp_mppe,system_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; kernel:drivers/net/ppp
78f0a5f0a15acc2669ea9b0432e1342f8c79bc2ee37c9cb6c0b41e931730267e,camera_dpe_isp7sp.ko,camera_dpe_isp7sp,vendor_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; kernel_modules:.
790065853b875213ee7906bb4c41a5f272106b24a537034a886f12f0153d1d0b,sc8571_charger.ko,sc8571_charger,vendor_boot_platform,ULEFONE_ONLY,SC8571 charger module; no convincing Nothing source match found
793b985a3b132e326e0668ba593ee22dd6bf57178687981d4be68f8037d60434,can.ko,can,system_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; kernel:net/can
7aa39793ea64964ae07417ed26f78eb0399264ca5179e6ce9a2ad1946a74cb96,mt6878-mt6369.ko,mt6878_mt6369,vendor_dlkm,DIRECT_SOURCE_MATCH,exact module name plus target-scoped hardware corroboration: device_modules:sound/soc/mediatek/mt6878 target-scoped (alias=mt6878 mt6369 soc card)
7af21b468ac9f49578b1553cb435033cf701ea1e690144fa93bd24a2b1458f42,mtk-smi-dbg.ko,mtk_smi_dbg,vendor_boot_platform,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/smi TARGET_FILES (exports=mtk_smi_dbg_cg_status,mtk_smi_dbg_dump_for_disp,mtk_smi_dbg_dump_for_isp_fast,mtk_smi_dbg_dump_for_mminfra,mtk_smi_dbg_dump_for_mml,mtk_smi_dbg_dump_for_vdec)"
7b008d08c83c0ebb6c10e34bcec19b798920481c57c2c78312a5a25aab70c374,mtk-smi.ko,mtk_smi,vendor_boot_platform,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/memory TARGET_FILES (exports=mtk_smi_check_comm_ref_cnt,mtk_smi_check_larb_ref_cnt,mtk_smi_common_bw_set,mtk_smi_common_ostdl_set,mtk_smi_driver_register_notifier,mtk_smi_driver_unregister_notifier)"
7b047caf1a491693376d3b0f1f67240a202e5522c2211626d8857a6aaafc3139,mtk_gpufreq_wrapper.ko,mtk_gpufreq_wrapper,vendor_dlkm,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/gpu/mediatek/gpufreq/v2 DIRECTORY_FALLBACK (compatible=mediatek,gpufreq_wrapper; exports=ged_get_last_commit_idx_fp,ged_get_last_commit_stack_idx_fp,ged_get_last_commit_top_idx_fp,gpufreq_active_sleep_control,gpufreq_active_sleep_ctrl_enable,gpufreq_bringup)"
7cfd45c42dcffe670e1fbe6a24c3d28fc9281a0bbcd02bc7819dc347269597b3,mtk-lpm-plat-v1.ko,mtk_lpm_plat_v1,vendor_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; device_modules:drivers/misc/mediatek/lpm/modules/platform/v1
7d74a6d7557c01cedfac13cf20ec5263aa57e32ed3eb0f84bb977a597b818949,lpm-gov-MHSP.ko,lpm_gov_MHSP,vendor_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; device_modules:drivers/misc/mediatek/lpm/governors/MHSP
7db2e9248c260f79b6dd37611c53907cac0e0e04b0f9550647c402cc6273d787,main2_vcm.ko,main2_vcm,vendor_dlkm,DIRECT_SOURCE_MATCH,"exact module name plus target-scoped hardware corroboration: device_modules:drivers/misc/mediatek/lens/vcm/v4l2/main2_vcm target-scoped (compatible=mediatek,main2_vcm)"
7dcf64a7d25c657d1a0795cc89ad519c954561c6c757949c247d623f16976247,aw36518.ko,aw36518,vendor_dlkm,NEEDS_ULEFONE_PORT,Awinic publishes AW36518 Android driver/porting resources; no exact Nothing source implementation was found
7e6330051d462a09605638f69032fa94697589ca5c36573217931193e51964a2,mddp.ko,mddp,vendor_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; device_modules:drivers/misc/mediatek/mddp
7ea1f35740a6c2bebf67a1ec3426b491a16875203e4b6c293bc57a5e57a79653,leds-mtk-disp.ko,leds_mtk_disp,vendor_boot_platform,DIRECT_SOURCE_MATCH,"exact module name plus target-scoped hardware corroboration: device_modules:drivers/leds target-scoped (compatible=mediatek,disp-conn-leds,mediatek,disp-leds,mediatek,i2c-leds,mediatek,mtk-leds)"
7f233790956357469fcd605a95b0c780bfc41540b0eea2584584aef77aafd4bc,mtk-scpsys-mt6878.ko,mtk_scpsys_mt6878,vendor_boot_platform,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; device_modules:drivers/soc/mediatek
