name	stock_section	rebuild_section	stock_size	rebuild_size	stock_kcfi	rebuild_kcfi	stock_hash	rebuild_hash	stock_external_calls	rebuild_external_calls	stock_internal_calls	rebuild_internal_calls	stock_immediates	rebuild_immediates	stock_cfg	rebuild_cfg	byte_identity	residual_explanation
hyn_irq_init	.text	.text	364	248	0xcc836375	0xcc836375	4d7504a73b3f4143f6ccd683edc1624fc31160ed7ffcec1608a799dde6e2b192	e6c117327eeef0071266c8b0ebc471201e1c91876f2d9bd9e5c05df9d592d4a6	_printk;gpio_to_desc;gpiod_to_irq;irq_set_irq_wake;of_find_matching_node_and_match;request_threaded_irq	__stack_chk_fail;gpio_to_desc;gpiod_to_irq;irq_set_irq_wake;of_find_matching_node_and_match;request_threaded_irq	-	-	0x0;0x1;0x2;0x4;0x8;0x10;0x20;0xac;0xb0;0x28e;0x3b4;0x2000	0x0;0x1;0x8;0x10;0x18;0x20;0x28;0x30;0x40;0x90;0xa8;0x3b4;0x638;0x2002	cond=0;jmp=0;call=6;ret=1	cond=0;jmp=0;call=6;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_enter_deep_sleep	.text	.text	228	48	0xa540670c	0xa540670c	0429bce9c8a9ab16e9a27148aee9a50e0c87867030efe06a8b5a72b3a61eb371	5da1cfe2aed452bb990369395c474e0e7ff8aea76eca4a75cf658db227e898d8	__stack_chk_fail;_printk	-	cst3xx_i2c_write;hyn_i2c_write_byte;hyn_reset_proc	hyn_i2c_write_byte	0x0;0x1;0x2;0x3;0x4;0x8;0x10;0x1f;0x20;0x30;0x32;0xe5;0x1a8;0x5d1;0x638	0x3;0x10;0xe5	cond=0;jmp=0;call=5;ret=1	cond=0;jmp=0;call=1;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_ts_data_init	.text	.text	344	56	0x8effdd6d	0x8effdd6d	68f74573da928c6b3a23bc8315e6be07cd8c6cd5b111c5777c71067642630802	6313cebaf85f7b0af64388463294d4701f9bac31946b91102c1a87cccf584437	_printk	-	-	-	0x0;0x1;0x2;0x6;0x8;0x10;0x15;0x20;0x21;0x24;0x88;0x89;0x8a;0xb6;0xb7;0x1a2;0x1a3;0x1a4;0x1a6;0x1a8;0x676	0x2;0x15;0x20;0x94;0x9e;0xa4;0xb7;0x320;0x1502	cond=0;jmp=0;call=1;ret=1	cond=0;jmp=0;call=0;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_platform_data_init	.text	.text	1240	372	0xcaa902df	0xcaa902df	9094464a4f33261f0be06adf175958bd5fa4a6e50741bf73fa2e7d30f03e757f	0bc346914f8c3b9ffd871926d90174a09fd3153bef33e3cc6a5fa9b0cbb53dfc	__stack_chk_fail;_printk;kmalloc_trace;of_find_property;of_get_named_gpio_flags;of_match_device;of_property_read_variable_u32_array	__stack_chk_fail;kmalloc_trace;of_find_property;of_get_named_gpio_flags;of_property_read_variable_u32_array	-	-	0x0;0x1;0x2;0x3;0x4;0x5;0x6;0x7;0x8;0xc;0x10;0x14;0x18;0x1f;0x20;0x24;0x28;0x2c;0x30;0x34;0x38;0x3c;0x40;0x44;0x48;0x4c;0x50;0x54;0x58;0x5c;0x60;0x64;0x68;0x6c;0x70;0x74;0x78;0x7c;0x80;0x84;0x8b;0x94;0x154;0x2e8;0x638;0x64c;0xdc0;0x5512	0x0;0x1;0x2;0x4;0x8;0xc;0x10;0x18;0x1c;0x1f;0x20;0x24;0x30;0x40;0x50;0x2e8;0x638;0xdc0	cond=0;jmp=0;call=7;ret=1	cond=0;jmp=0;call=5;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
tiny_tp_power_contorl	.text	.text	576	232	0x019c0cac	0x019c0cac	ccd62742576178e5503cacbceddf99a9f65a265c729badbff9029ac090a767e6	9660d77970c6751c505091864849e68cb58e0efa0b2a83718d0c60da4627661f	_printk;disable_irq_nosync;enable_irq;input_event	input_event	hyn_enter_deep_sleep;hyn_gesture_resume;hyn_gesture_suspend;hyn_reset_proc	hyn_enter_deep_sleep;hyn_gesture_resume;hyn_gesture_suspend;hyn_irq_disable;hyn_irq_enable;hyn_reset_proc	0x0;0x1;0x2;0xa;0x10;0x18;0x20;0x28;0xa9;0xac;0xb6;0xb7;0xe2;0x14a;0x6bc	0x1;0x2;0xa;0x10;0x20;0x28;0xaa;0x14a	cond=0;jmp=0;call=8;ret=1	cond=0;jmp=0;call=7;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
tiny_tp_gesture_contorl	.text	.text	104	32	0x019c0cac	0x019c0cac	5141946244b79b355d15c56f85959f65f0a3936c22be302e7b8f7660b95811b8	c7b91a9e86c19ec96b481e1ee0449f0265dd2df7bc991900936a63d3e6139af0	_printk	-	-	-	0x0;0x1;0x10	0x0	cond=0;jmp=0;call=1;ret=1	cond=0;jmp=0;call=0;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
cst3xx_touch_down	.text	.text	204	192	0xd65f03c0	0xd65f03c0	9aaa1485a8adcee59fd3895f412a27327c12afbb1d456233cbd7a58e0fbf1463	3cc7ee2c9e3ef267094b5f9bda39dca9f40133ded8b7caa3a3f326f10b55afd9	input_event	input_event	-	-	0x1;0x2;0x3;0x10;0x20;0x30;0x32;0x35;0x36;0x39;0x40;0x14a	0x1;0x2;0x3;0x10;0x20;0x30;0x32;0x35;0x36;0x39;0x14a	cond=0;jmp=0;call=1;ret=1	cond=0;jmp=0;call=1;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
cst3xx_touch_up	.text	.text	72	92	0xd65f03c0	0xd65f03c0	9ba99629c16111bda62afef266d44744bd0707e5fa60767b5c84d8063a276812	e338b9b82b2ed28857695f48013078666d5f329bcab0dcfc98281c0d2cfb7a54	input_event	input_event	-	-	0x1;0x2;0x10;0x20;0x14a	0x1;0x2;0x3;0x10;0x20;0x39;0x14a	cond=0;jmp=0;call=1;ret=1	cond=0;jmp=0;call=1;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
tpd_up	.text	.text	96	40	0xd65f03c0	0xd65f03c0	9e6e627414a6c00f6236ddfd88fc8dd3919b4c112e38778c18661b0965b14dd0	c3bc8003f385d10fcfa43aae897faa49901b98434fde33bcd514e5f1ba8d5770	_printk;input_event	-	-	-	0x0;0x1;0x2;0x10;0x18;0x20;0x14a	0x10	cond=0;jmp=0;call=2;ret=1	cond=0;jmp=0;call=0;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
tpd_down	.text	.text	236	60	0xd65f03c0	0xd65f03c0	b97afd6de7f23ccf631098eecb37f567803e56e90fe3385682ecf10f617558e9	042fa52c3ec86a3f1c54b14af29aed0d8e7e208fb9658fd18990cbdced54b0ae	_printk;input_event	-	-	-	0x0;0x1;0x2;0x3;0x9;0x10;0x18;0x20;0x30;0x35;0x36;0x39;0x14a	0x10;0x28	cond=0;jmp=0;call=2;ret=2	cond=0;jmp=0;call=0;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_eint_interrupt_handler	.text	.text	104	64	0xf90f05f6	0xf90f05f6	15a812a7efae89c1372a88a32539d7c6f0febefe028d02a07ce2533eddb65e3c	84de0f0b18cf5f3287de9e3c8f185f65fb7a7654494894c07da750cfd7651e45	disable_irq_nosync;queue_work_on	queue_work_on	-	hyn_irq_disable	0x1;0x10;0x20;0x70;0xa0;0xa9;0xac	0x1;0x10;0x20;0x50	cond=0;jmp=0;call=2;ret=1	cond=0;jmp=0;call=2;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_probe	.text	.text	1860	576	0x5ef138aa	0x5ef138aa	e4e124ef3227d1f3fd776533df5feba5a45196e61cb1ae7a24da261f3149d588	f75a6b5f554548ee864be4081ee6e2b3e63e607d19a8d154bc75d9a8e0f01062	__const_udelay;_printk;disable_irq_nosync;enable_irq;free_irq;gpio_free;gpio_request;gpio_to_desc;gpiod_direction_input;gpiod_direction_output_raw;kfree;kmalloc_trace;yft_set_touch_device_used	__const_udelay;__mutex_init;free_irq;gpio_free;gpio_request;gpio_to_desc;gpiod_direction_input;gpiod_direction_output_raw;input_free_device;kfree;kmalloc_trace;of_match_device;yft_set_touch_device_used	hyn_create_sysfs;hyn_detect_bootloader;hyn_firmware_info;hyn_gesture_exit;hyn_gesture_init;hyn_input_dev_int;hyn_irq_init;hyn_platform_data_init;hyn_release_sysfs;hyn_reset_proc;hyn_ts_data_init;hyn_update_firmware_init	hyn_create_sysfs;hyn_detect_bootloader;hyn_firmware_info;hyn_gesture_init;hyn_input_dev_int;hyn_irq_disable;hyn_irq_enable;hyn_irq_init;hyn_platform_data_init;hyn_reset_proc;hyn_ts_data_init;hyn_update_firmware_init	0x0;0x1;0x8;0x10;0x18;0x1f;0x20;0x28;0x30;0x41;0xa9;0xac;0xb8;0x1ff;0x248;0x5c2;0x5d0;0x849;0x86e;0xdc0;0x8228;0x8958;0x8f79;0xe0b0	0x0;0x1;0x4;0x8;0x10;0x18;0x1f;0x20;0x28;0x30;0x41;0x60;0x90;0xa8;0xc0;0xdc0;0x8958	cond=0;jmp=0;call=25;ret=1	cond=0;jmp=0;call=25;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_remove	.text	.text	92	144	0x8effdd6d	0x8effdd6d	7939eb1d8fc371a8aa4b447b8dbad6b8017611e6622c9bc37b902690cc40c435	e6c4909bf75f5f4d93c30d66105c79eda0f2c32e5f3b171fbdb44214a693a4ba	_printk	__flush_workqueue;free_irq;gpio_free;input_free_device;kfree	hyn_gesture_exit;hyn_release_sysfs	hyn_gesture_exit;hyn_release_sysfs	0x0;0x10;0x20;0x893	0x4;0x8;0x10;0x18;0x20;0x50;0x90	cond=0;jmp=0;call=3;ret=1	cond=0;jmp=0;call=7;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_detect	.text	.text	32	32	0x30b22b8e	0x30b22b8e	0708c299fa8c8af9c348a22ac23fac81727b5ab541feac4e5b8d15bc7637dc63	0708c299fa8c8af9c348a22ac23fac81727b5ab541feac4e5b8d15bc7637dc63	-	-	-	-	0x3;0x73;0x5f6e;0x745f;0x7968	0x3;0x73;0x5f6e;0x745f;0x7968	cond=0;jmp=0;call=0;ret=1	cond=0;jmp=0;call=0;ret=1	YES	NONE
hyn_i2c_read	.text	.text	160	140	0x90b95eb7	0x90b95eb7	5f1000f4c2d5c759ce2fb1cb09c1eb5749395cec4da07e9e13cf5f01d086cbe5	ff8ced208154a39c3e77e4511e10075613989ba54c9345a790ef11d75002155c	_printk;i2c_transfer_buffer_flags	_dev_err;_printk;i2c_transfer_buffer_flags	-	-	0x0;0x1;0x10;0x1f;0x20;0x30	0x0;0x1;0x10;0x1f;0x20;0x30	cond=0;jmp=0;call=2;ret=1	cond=0;jmp=0;call=3;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_i2c_write	.text	.text	100	76	0xcb32cd11	0xcb32cd11	9511fb52c2824856fb1dffbf9be3d0770e4965d62a28101922b6809b66dd6a6f	ef6ee4e82200a5203b1c1b52e086ff7dfc002ddc4e4aeb7e93511916fd4ff18d	_printk;i2c_transfer_buffer_flags	_printk;i2c_transfer_buffer_flags	-	-	0x0;0x10;0x1f;0x20	0x0;0x10;0x1f;0x20	cond=0;jmp=0;call=2;ret=1	cond=0;jmp=0;call=2;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_i2c_write_byte	.text	.text	160	88	0x43e1b70a	0x43e1b70a	91a87986f5bbe0b7d056c61a69fbbb72c1d95e70f98b8a77b32f96f3b28e9dd4	85885fc88ec91476b2f640206a7731e14cf2a15abf7989fae4bc068bc86fcb5d	__stack_chk_fail;_printk;i2c_transfer_buffer_flags	__stack_chk_fail	-	hyn_i2c_write	0x0;0x2;0x4;0x5;0x8;0x10;0x1f;0x20;0x30;0x638	0x2;0x4;0x5;0x8;0x10;0x20;0x638	cond=0;jmp=0;call=3;ret=1	cond=0;jmp=0;call=2;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_i2c_read_byte	.text	.text	204	92	0x955585a5	0x955585a5	d09389da76e62c6cb5ae4be66bc518992540161eace6711338d764d6e413ff3b	70160d1213ad7b7e1bf07c558c369ea31b91cc47a0a996e2e53f09421c1833aa	__stack_chk_fail;_printk;i2c_transfer_buffer_flags	__stack_chk_fail	-	hyn_i2c_read	0x0;0x1;0x4;0x8;0x10;0x1f;0x20;0x30;0x638	0x1;0x4;0x8;0x10;0x20;0x638	cond=0;jmp=0;call=3;ret=1	cond=0;jmp=0;call=2;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_i2c_write_bytes	.text	.text	336	220	0xea58cdbc	0xea58cdbc	38093fc4a17b6e430340dfbb22d14d2ecc858b25fd84a2fcb7848b97f0159743	09c766ee6d1cb2d4634a19be60b9557182978deda45f006fb21c7f8962e64d77	__stack_chk_fail;_printk;fortify_panic;i2c_transfer_buffer_flags;memcpy;memset	__stack_chk_fail;fortify_panic;memcpy;memset	-	hyn_i2c_write	0x0;0x1;0x2;0x8;0x10;0x1f;0x20;0x30;0x40;0xff;0x257;0x258;0x260;0x638;0xffff	0x0;0x1;0x10;0x20;0x30;0x40;0xff;0x258;0x259;0x260;0x638;0xffff	cond=0;jmp=0;call=6;ret=1	cond=0;jmp=0;call=5;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_i2c_read_bytes	.text	.text	276	144	0xea58cdbc	0xea58cdbc	6cec4d21b21f582791dfe48ebfa49f2fcdd22263b4ddab6ac93c0ff6f2386da9	496070a6585525a0c3c4934e937dc378686286a440ca548f87ea1e312583b4e5	__stack_chk_fail;_printk;i2c_transfer_buffer_flags	__stack_chk_fail	-	hyn_i2c_read	0x0;0x1;0x4;0x5;0x8;0x10;0x1f;0x20;0x30;0x40;0xff;0x638;0xffff	0x1;0x4;0x5;0x8;0x10;0x20;0xff;0x638;0xffff	cond=0;jmp=0;call=3;ret=1	cond=0;jmp=0;call=2;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
cst3xx_i2c_read	.text	.text	88	88	0xb0620772	0xb0620772	1f57bc66c484103ccf0694ff14505f5b696ddd74487d55444c90f44d51c4cc42	1f57bc66c484103ccf0694ff14505f5b696ddd74487d55444c90f44d51c4cc42	i2c_transfer_buffer_flags	i2c_transfer_buffer_flags	-	-	0x0;0x1;0x10;0x20;0x30	0x0;0x1;0x10;0x20;0x30	cond=0;jmp=0;call=1;ret=1	cond=0;jmp=0;call=1;ret=1	YES	NONE
cst3xx_i2c_write	.text	.text	88	88	0xb0620772	0xb0620772	4216767b0ac427b8cd7b38c832532d51a83e36fbae660dd5179225e54ff8865e	4216767b0ac427b8cd7b38c832532d51a83e36fbae660dd5179225e54ff8865e	i2c_transfer_buffer_flags	i2c_transfer_buffer_flags	-	-	0x0;0x10;0x20;0x30	0x0;0x10;0x20;0x30	cond=0;jmp=0;call=1;ret=1	cond=0;jmp=0;call=1;ret=1	YES	NONE
cst3xx_i2c_read_register	.text	.text	140	84	0xb0620772	0xb0620772	30bedff57ec1e701d3fe3f2d32189c15d41150853fc6e04aa70968a34accc0b3	72fc2e3cee7739a207e950a79aaf85ec7d3b69c449c4008411284c33418675bd	i2c_transfer_buffer_flags	-	-	cst3xx_i2c_read;cst3xx_i2c_write	0x0;0x1;0x2;0x10;0x20;0x30	0x1;0x2;0x10;0x20;0x30	cond=0;jmp=0;call=1;ret=1	cond=0;jmp=0;call=2;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_create_sysfs	.text	.text	252	76	0xcc836375	0xcc836375	ef1362ad7bf36512e4ce2e7569d04a774c3bb3b5eb6e962f27a8e9e54db7545c	c3adcfb42488f40dfeccaa93e23732e79c5c5a11155b9d95a6653cc4ab8a8ebf	__mutex_init;_printk;kobject_create_and_add;sysfs_create_group;sysfs_remove_group	kobject_create_and_add;sysfs_create_group	-	-	0x0;0x8;0x10;0x20;0x1d0;0x6a8	0x0;0x10;0x58	cond=0;jmp=0;call=5;ret=1	cond=0;jmp=0;call=2;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_release_sysfs	.text	.text	52	56	0x8effdd6d	0x8effdd6d	d3b6d185b751b9ad6477f9a59bd0bce73f2c0c23257aad0bc66c5683fd067755	d8475aa40c7773f5e25d1c2d1c5244c752677e9e7d15d71597053b865701a46d	sysfs_remove_group	sysfs_remove_group	-	-	0x0;0x10;0x1d0	0x0;0x10;0x58	cond=0;jmp=0;call=1;ret=1	cond=0;jmp=0;call=1;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_tpfwver_show	.text	.text	652	184	0xdf43c25c	0xdf43c25c	a6e38366148bc4a6637d5132ab64ff410a0a9b84478e262927211eb7438b141b	9297c381b8041702741dc54c6382ac88aa0d023e91e8daaa686a02eaff018624	__const_udelay;__stack_chk_fail;mutex_lock;mutex_unlock;snprintf	mutex_lock;mutex_unlock;snprintf	cst3xx_i2c_read_register;cst3xx_i2c_write;hyn_i2c_read	cst8xx_firmware_info	0x0;0x1;0x2;0x4;0x8;0x9;0xa;0xb;0xc;0xe;0x10;0x18;0x1f;0x20;0x30;0x40;0x41;0x50;0x60;0x70;0x80;0xa6;0x1a8;0x1d1;0x4d2;0x638;0x8d2;0x9d1;0xcd2;0x8958	0x0;0xa;0x10;0x18;0x1b;0x1f;0x20;0x30;0x60;0x94;0x96;0x98;0x9a;0x9c;0x1000;0x6c69	cond=0;jmp=0;call=8;ret=1	cond=0;jmp=0;call=4;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_tpfwver_store	.text	.text	8	8	0x95a8ba07	0x95a8ba07	e396875767c39b6fddf6e112dfc7833396eb4277b0ba2696f448a85c3d3fbc71	e396875767c39b6fddf6e112dfc7833396eb4277b0ba2696f448a85c3d3fbc71	-	-	-	-	-	-	cond=0;jmp=0;call=0;ret=1	cond=0;jmp=0;call=0;ret=1	YES	NONE
hyn_fwupdate_show	.text	.text	8	8	0xdf43c25c	0xdf43c25c	e396875767c39b6fddf6e112dfc7833396eb4277b0ba2696f448a85c3d3fbc71	e396875767c39b6fddf6e112dfc7833396eb4277b0ba2696f448a85c3d3fbc71	-	-	-	-	-	-	cond=0;jmp=0;call=0;ret=1	cond=0;jmp=0;call=0;ret=1	YES	NONE
hyn_fwupdate_store	.text	.text	96	60	0x95a8ba07	0x95a8ba07	5af73b5da73cd312bd9e96390633385338c65d85cee89e96533040960b467578	572f76b2bc61e3bf91e5ee1e6a37485942a6ccb04b9134b4043ea2cd612b3f11	_printk;mutex_lock;mutex_unlock	-	hyn_boot_update_fw	hyn_boot_update_fw	0x0;0x8;0x10;0x20;0x1c8	0x0;0x10;0x20	cond=0;jmp=0;call=4;ret=1	cond=0;jmp=0;call=1;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
hyn_tprwreg_show	.text	.text	184	180	0xdf43c25c	0xdf43c25c	cb04fefabb77faf7960e7401c6fc81bdddf98e6b1f0175908903993ac4812be4	517845881473d1c5e21ca88e3683d9dd7f0774658c8846b62cd2e603ec53ecb2	__stack_chk_fail;snprintf	__stack_chk_fail;snprintf	cst3xx_i2c_read_register	cst3xx_i2c_read_register	0x0;0x6;0x8;0x10;0x11;0x12;0x13;0x14;0x15;0x1f;0x20;0x30;0x40;0x50;0x80;0x638;0x4fd0	0x0;0x6;0x10;0x11;0x12;0x13;0x14;0x15;0x1f;0x20;0x30;0x40;0x80;0x638;0x4fd0	cond=0;jmp=0;call=3;ret=1	cond=0;jmp=0;call=3;ret=1	NO	code-generation/CFG differs; named target hardware and ABI behavior closed by contract/disassembly
