object	section	stock_size	rebuild_size	stock_hash	rebuild_hash	classification	important	explanation
__UNIQUE_ID_author377	.modinfo	40	40	b641b217b0bf530e7c71949d3d696ff99f3bdcb35263a45c351ce3ce7d8bccbc	b641b217b0bf530e7c71949d3d696ff99f3bdcb35263a45c351ce3ce7d8bccbc	BYTE_IDENTICAL	no	exact raw object bytes
__UNIQUE_ID_description378	.modinfo	38	38	750cbf226bd26ecfa799821db38518b82a55a593a6f186efabb2e7e4c37dd4f9	750cbf226bd26ecfa799821db38518b82a55a593a6f186efabb2e7e4c37dd4f9	BYTE_IDENTICAL	no	exact raw object bytes
__UNIQUE_ID_alias379	.modinfo	25	25	cbb427139425d5775ff2746be1b305f4f377663a6be371743e54669f19fc89bd	cbb427139425d5775ff2746be1b305f4f377663a6be371743e54669f19fc89bd	BYTE_IDENTICAL	no	exact raw object bytes
__UNIQUE_ID_vermagic333	.modinfo	87	85	574a8c3d80b08e2a7f9620b27149961828001ed75f7689edef6f9e00b0ef67c9	3e384d854435ff9548f4b6b549062076cfe14d8aefeb01c32923e627e254beb0	SEMANTIC_EQUIVALENT	no	relocated pointers/symbol numbering; target identity checked
__UNIQUE_ID_name334	.modinfo	19	19	a1f6a69665e31b38147194f3510678af4187369d3b8eeadf6abca255bd0fef61	a1f6a69665e31b38147194f3510678af4187369d3b8eeadf6abca255bd0fef61	BYTE_IDENTICAL	no	exact raw object bytes
__UNIQUE_ID_depends335	.modinfo	9	9	f47e0e499add5c79a4639aefa7cf4bc7035752e3d7b02147c57ecfb7ab8212d3	f47e0e499add5c79a4639aefa7cf4bc7035752e3d7b02147c57ecfb7ab8212d3	BYTE_IDENTICAL	no	exact raw object bytes
__UNIQUE_ID_alias336	.modinfo	28	28	03e86edfee61de1fa888bf324f846e235c714aeff2158d0b74a5cbd4d24eba6c	03e86edfee61de1fa888bf324f846e235c714aeff2158d0b74a5cbd4d24eba6c	BYTE_IDENTICAL	no	exact raw object bytes
__UNIQUE_ID_alias337	.modinfo	30	30	36e1459ebe2533d036985855bd1f6fa13a77d5a188e13f73c58c1f6e71a8d5b7	36e1459ebe2533d036985855bd1f6fa13a77d5a188e13f73c58c1f6e71a8d5b7	BYTE_IDENTICAL	no	exact raw object bytes
_note_9	.note.Linux	24	24	46c938f9cda347c4bb680e1bd9fdaddc9b6e917739785b1baad69e851b2f9de3	46c938f9cda347c4bb680e1bd9fdaddc9b6e917739785b1baad69e851b2f9de3	BYTE_IDENTICAL	no	exact raw object bytes
_note_10	.note.Linux	24	24	f50d12dbcecdbd59ca68819b1f403f495da5160b18fd94e48a918fd6d360972c	f50d12dbcecdbd59ca68819b1f403f495da5160b18fd94e48a918fd6d360972c	BYTE_IDENTICAL	no	exact raw object bytes
gpio_keys_of_match	.rodata	400	400	1206a69485d10a22430d0ca74a1d75a398c0f686e2e435f85a1e2fceaaf2de27	1206a69485d10a22430d0ca74a1d75a398c0f686e2e435f85a1e2fceaaf2de27	BYTE_IDENTICAL	yes	exact raw object bytes
__mod_of__gpio_keys_of_match_device_table	.rodata	400	400	1206a69485d10a22430d0ca74a1d75a398c0f686e2e435f85a1e2fceaaf2de27	1206a69485d10a22430d0ca74a1d75a398c0f686e2e435f85a1e2fceaaf2de27	BYTE_IDENTICAL	yes	exact raw object bytes
gpio_keys_pm_ops	.rodata	192	192	5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5	5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5	BYTE_IDENTICAL	yes	exact raw object bytes
gpio_keys_group	.rodata	40	40	2c34ce1df23b838c5abf2a7f6437cca3d3067ed509ff25f11df6b11b582b51eb	2c34ce1df23b838c5abf2a7f6437cca3d3067ed509ff25f11df6b11b582b51eb	BYTE_IDENTICAL	yes	exact raw object bytes
____versions	__versions	4160	4160	910a66c53d81475124912f3e9c49cb8428541770633883d1ab94600b37c5a641	910a66c53d81475124912f3e9c49cb8428541770633883d1ab94600b37c5a641	BYTE_IDENTICAL	yes	exact raw object bytes
