symbol,crc,provider_kind,provider_modules,provider_module_count,consumer_modules,consumer_module_count,import_record_count,in_kernel_base,in_kernel_mtk,in_kernel_nothing,in_device_base,in_device_mtk,in_device_mtk_union,in_kernel_nothing_union,in_any_published_nothing_list,required_stock_crc,exact_gki_crc,exact_gki_crc_status
__bitmap_set,0x615911d7,KERNEL_OR_BUILTIN,,0,apusys;mali_kbase_mt6878_r44;mtu3,3,3,0,1,1,0,1,1,1,1,0x615911d7,0x615911d7,MATCH
__bitmap_subset,0x3221df67,KERNEL_OR_BUILTIN,,0,yft_gpio_keys,1,1,0,1,0,0,0,0,1,1,0x3221df67,0x3221df67,MATCH
__bitmap_weight,0x21ea5251,KERNEL_OR_BUILTIN,,0,apusys;cpufreq_sugov_ext;gz_ipc_mod;load_track;mali_kbase_mt6878_r44;mrdump;mtk_core_ctl;mtk_fpsgo;mtk_lpm;mtk_lpm_dbg_common_v2;mtk_lpm_plat_v1;mtk_pbm;mtk_perf_common;mtk_perf_ioctl_magt;mtk_swpm_dbg_common_v1;mtk_swpm_perf_arm_pmu;rps_perf;scheduler;thermal_interface;tkcore_drv;uload_ind;wlan_drv_gen4m_6878,22,22,0,1,1,0,1,1,1,1,0x21ea5251,0x21ea5251,MATCH
__bitmap_xor,0xf6fc8791,KERNEL_OR_BUILTIN,,0,mediatek_drm,1,1,0,1,0,0,0,0,1,1,0xf6fc8791,0xf6fc8791,MATCH
__blk_alloc_disk,0x1ce70c88,KERNEL_OR_BUILTIN,,0,zram,1,1,0,1,0,0,1,1,1,1,0x1ce70c88,0x1ce70c88,MATCH
__check_object_size,0x88db9f48,KERNEL_OR_BUILTIN,,0,adsp;aee_aed;apu_top;apusys;atf_logger;audio_ipi;aw883xx_driver;blocktag;bluetooth;bootprof;bt_drv_6878;c2ps_perf_ioctl;camera_dpe_isp7sp;camera_eeprom_v4l2;can_bcm;can_raw;ccci_dpmaif;ccci_md_all;ccci_util_lib;clk_common;cmdq_test;connfem;conninfra;connscp;cpudvfs;custom_ldo_wl2868;device_apc_common;fhctl;fmradio_drv_connac2x;focaltech_touch_spi_ft3680;ged;gps_drv_dl_v051;gps_pwr;gps_scp;gpueb;gz_ipc_mod;gz_log_mod;gz_main_mod;gzvm;hbt;hf_manager;ieee802154_socket;imgsensor;l2tp_ppp;log_store;mali_kbase_mt6878_r44;mcupm;md_cooling_all;mddp;mdp_drv_mt6878;mediatek_drm;microarray_fp_tee;mmprofile;monitor_hang;mtk_btcvsd;mtk_cam_isp7sp;mtk_ccd_remoteproc;mtk_charger_framework;mtk_dpc;mtk_gpu_qos;mtk_gpufreq_wrapper;mtk_hcp;mtk_heap_debug;mtk_imgsys_v4l2;mtk_ioctl_powerhal;mtk_lpm;mtk_mbraink;mtk_mdpm;mtk_mmc_dbg;mtk_mml;mtk_pbm;mtk_peak_power_budget;mtk_perf_ioctl;mtk_perf_ioctl_magt;mtk_printk_ctrl;mtk_scp_audiocommon;mtk_swpm;mtk_vcodec_dec_v1;mtk_vow;mtu3;mux_switch;nfc;phy_mtk_xsphy;pinctrl_mtk_common_v2_debug;powerhal_cpu_ctrl;ppp_generic;rfcomm;rfkill;rpmb_mtk;scheduler;scp;sec;slcan;snd_soc_audiodsp_common;snd_soc_mt6369;snd_soc_mtk_common;snd_soc_tfa98xx;sspm_v3;st21nfc;teeperf;thermal_interface;tipc;tkcore;touch_boost;uarthub_drv;ufs_mediatek_dbg;ufs_mediatek_mod;usb_logger;vcp;wlan_drv_gen4m_6878;wmt_chrdev_wifi_connac2;wwan;xhci_mtk_hcd_v2,113,114,0,1,0,0,1,1,1,1,0x88db9f48,0x88db9f48,MATCH
__class_create,0x13f8371b,KERNEL_OR_BUILTIN,,0,adapter_class;apusys;bluetooth;bt_drv_6878;c2k_usb;camera_dpe_isp7sp;camera_eeprom_v4l2;ccci_md_all;ccci_util_lib;charger_class;connadp;connfem;conninfra;connscp;extcon_mtk_usb;extdev_io_class;flashlight;fmradio_drv_connac2x;gps_drv_dl_v051;gps_pwr;gps_scp;gz_ipc_mod;gz_main_mod;hf_manager;mdp_drv_mt6878;mediatek_drm;microarray_fp_tee;mt6369_accdet;mt6375_battery;mtk_ccd_remoteproc;mtk_ccuv;mtk_cg_peak_power_throttling;mtk_charger_algorithm_class;mtk_hcp;mtk_vcu;panel_ky_vtdr6115_dphy_cmd;pda_drv_mt6878;ppp_generic;rpmb_mtk;sc8571_charger;sec;sh366003_fg;tcpc_class;teeperf;usb_boost;usb_meta;widevine_driver;wlan_drv_gen4m_6878;wmt_chrdev_wifi_connac2;wwan;yft_devinfo,51,52,0,1,0,0,1,1,1,1,0x13f8371b,0x13f8371b,MATCH
__class_register,0x290df2c0,KERNEL_OR_BUILTIN,,0,aw883xx_driver;cfg80211;ieee802154;mtk_mbraink;nfc;rfkill;rpmb;zram,8,8,0,1,0,0,1,1,1,1,0x290df2c0,0x290df2c0,MATCH
__clk_get_hw,0x83284a5a,KERNEL_OR_BUILTIN,,0,apu_top;clk_common;clk_disable_unused,3,3,0,1,0,0,1,1,1,1,0x83284a5a,0x83284a5a,MATCH
__clk_get_name,0xc569d8ce,KERNEL_OR_BUILTIN,,0,apu_top;clk_bringup;clk_common;clk_disable_unused;imgsensor;mediatek_drm;mtk_mmdvfs_v3;vcp,8,8,0,1,0,0,1,1,1,1,0xc569d8ce,0xc569d8ce,MATCH
__clk_is_enabled,0xc6a4a872,KERNEL_OR_BUILTIN,,0,clk_common;clk_disable_unused;mali_kbase_mt6878_r44;mdp_drv_mt6878;mtk_ccuv;mtk_mmc_dbg,6,6,0,1,0,0,1,1,1,1,0xc6a4a872,0xc6a4a872,MATCH
__clk_mux_determine_rate_closest,0x585eaed3,KERNEL_OR_BUILTIN,,0,clk_common,1,1,0,1,0,0,0,0,1,1,0x585eaed3,0x585eaed3,MATCH
__const_udelay,0xeae3dfd6,KERNEL_OR_BUILTIN,,0,8250_mtk;adsp;aee_aed;aee_hangdet;apu_top;apusys;asix;board_temp;bt_drv_6878;cache_parity;ccci_ccif;ccci_dpmaif;ccci_md_all;clk_chk_mt6878;clk_common;clk_fmeter_mt6878;clkbuf;conninfra;dw9781c;emi_fake_eng;fhctl;focaltech_touch_spi_ft3680;hci_uart;hynitron;i2c_mt65xx;imgsensor;main2_vcm;main3_vcm;main4_vcm;main_vcm;mali_kbase_mt6878_r44;mediatek_drm;mediatek_drm_gateic;mediatek_drm_panel_drv;mmqos_common;mrdump;mt6363_regulator;mt6369_accdet;mt6369_regulator;mt6375_auxadc;mt6375_battery;mtk_cam_isp7sp;mtk_ccuv;mtk_dpc;mtk_dvfsrc;mtk_dvfsrc_helper;mtk_gpufreq_mt6878;mtk_iommu;mtk_lpm_dbg_common_v2;mtk_mmc;mtk_mmc_dbg;mtk_mmdvfs_v3;mtk_mminfra_debug;mtk_mml;mtk_perf_common;mtk_pwm;mtk_scpsys;mtk_smi_dbg;mtk_spmi_pmic_adc;mtk_tinysys_ipi;mtk_uart_apdma;mtk_vcodec_dec_v1;mtk_vcodec_enc_v1;mtk_vmm_spm;mtk_wdt;mtu3;nvmem_mt635x_efuse;pd_chk_mt6878;phy_mtk_ufs;phy_mtk_xsphy;pinctrl_mtk_common_v2_debug;pinctrl_mtk_v2;pmic_lbat_service;rt5133_regulator;rtc_mt6685;scp;sh366003_fg;snd_soc_mt6878_afe;soc_temp_lvts;spi_mt65xx;spi_tiny_co5300_lcd;spmi_mtk_pmif;sub_vcm;tcpc_mt6375;uarthub_drv;ufs_mediatek_mod;vcp;wlan_drv_gen4m_6878;xhci_mtk_hcd_v2;yft_tiny2c_usb,90,90,0,1,0,0,1,1,1,1,0xeae3dfd6,0xeae3dfd6,MATCH
