module_name,classifications,final_status,evidence_kind,normalized_status,exact_status,nothing_target_hits,nothing_source_hits,mt6878_target_hits,mt6878_source_hits,normalized_target_examples,normalized_source_examples,exact_strong_examples,exact_composite_examples,exact_source_examples
aqc111,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
arm_dsu_pmu,DIRECT_SOURCE_MATCH,UNRESOLVED,,UNRESOLVED,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
asix,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
atf_logger,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,0,0,0,device_modules/drivers/misc/mediatek/atf/Makefile:6:obj-$(CONFIG_MTK_ATF_LOGGER) := atf_logger.o,,,,
audio_ipi,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,EXACT_SOURCE_BASENAME,1,1,0,0,device_modules/drivers/misc/mediatek/audio_ipi/Makefile:30:obj-$(CONFIG_MTK_AUDIO_IPI) += audio_ipi.o,device_modules/drivers/misc/mediatek/audio_ipi/common/audio_ipi.c,,,device_modules/drivers/misc/mediatek/audio_ipi/common/audio_ipi.c
aw36515,NEEDS_ULEFONE_PORT,UNRESOLVED,,UNRESOLVED,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
aw36518,NEEDS_ULEFONE_PORT,UNRESOLVED,,UNRESOLVED,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
aw36518_v2,NEEDS_ULEFONE_PORT,UNRESOLVED,,UNRESOLVED,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
aw883xx_driver,NEEDS_ULEFONE_PORT,UNRESOLVED,,UNRESOLVED,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
ax88179_178a,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
backlight_cooling,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,EXACT_SOURCE_BASENAME,1,1,0,0,device_modules/drivers/thermal/mediatek/Makefile:20:obj-$(CONFIG_MTK_BACKLIGHT_THERMAL) += backlight_cooling.o,device_modules/drivers/thermal/mediatek/backlight_cooling.c,,,device_modules/drivers/thermal/mediatek/backlight_cooling.c
blocktag,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,MENTION_ONLY,1,0,0,0,device_modules/drivers/misc/mediatek/blocktag/Makefile:24:obj-$(CONFIG_MTK_BLOCK_IO_TRACER)	+= blocktag.o,,,,
bluetooth,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,MENTION_ONLY,0,0,0,0,,,,,
board_temp,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,EXACT_SOURCE_BASENAME,1,1,0,0,device_modules/drivers/thermal/mediatek/Makefile:28:obj-$(CONFIG_MTK_BOARD_THERMAL)	+= board_temp.o,device_modules/drivers/thermal/mediatek/board_temp.c,,,device_modules/drivers/thermal/mediatek/board_temp.c
bootprof,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,EXACT_SOURCE_BASENAME,1,1,0,0,device_modules/drivers/misc/mediatek/mtprof/Makefile:14:obj-$(CONFIG_MTPROF) = bootprof.o,device_modules/drivers/misc/mediatek/mtprof/bootprof.c,,,device_modules/drivers/misc/mediatek/mtprof/bootprof.c
bsd_comp,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
bt_drv_6878,LIKELY_PLATFORM_MATCH,UNRESOLVED,,UNRESOLVED,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
btbcm,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
btqca,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
btsdio,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
bus_parity,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,1,0,0,device_modules/drivers/misc/mediatek/sda/Makefile:8:obj-$(CONFIG_MTK_BUS_PARITY_CHECK) += bus-parity.o,device_modules/drivers/misc/mediatek/sda/bus-parity.c,,,
c2k_usb,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,MENTION_ONLY,1,0,0,0,device_modules/drivers/misc/mediatek/usb/c2k_usb/Makefile:22:obj-$(CONFIG_MTK_ECCCI_C2K_USB) := c2k_usb.o,,,,
c2k_usb_f_via_atc,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,0,0,0,device_modules/drivers/misc/mediatek/usb/c2k_usb/Makefile:31:obj-$(CONFIG_MTK_ECCCI_C2K_USB)	+= c2k_usb_f_via_atc.o,,,,
c2k_usb_f_via_ets,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,0,0,0,device_modules/drivers/misc/mediatek/usb/c2k_usb/Makefile:29:obj-$(CONFIG_MTK_ECCCI_C2K_USB)	+= c2k_usb_f_via_ets.o,,,,
c2k_usb_f_via_modem,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,0,0,0,device_modules/drivers/misc/mediatek/usb/c2k_usb/Makefile:27:obj-$(CONFIG_MTK_ECCCI_C2K_USB)	+= c2k_usb_f_via_modem.o,,,,
c2ps_perf_ioctl,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,EXACT_SOURCE_BASENAME,1,1,0,0,kernel_modules/mtkcam/sched/c2ps_ioctl/Kbuild:1:obj-$(CONFIG_MTK_C2PS) += c2ps_perf_ioctl.o,kernel_modules/mtkcam/sched/c2ps_ioctl/c2ps_perf_ioctl.c,,,kernel_modules/mtkcam/sched/c2ps_ioctl/c2ps_perf_ioctl.c
cache_parity,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,1,0,0,device_modules/drivers/misc/mediatek/sda/Makefile:5:obj-$(CONFIG_MTK_CACHE_PARITY_CHECK) += cache-parity.o,device_modules/drivers/misc/mediatek/sda/cache-parity.c,,,
camera_af_media,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,0,0,0,device_modules/drivers/misc/mediatek/lens/vcm/v4l2/media/Makefile:5:obj-$(CONFIG_MTK_V4L2_LENS) += camera_af_media.o,,,,
camera_dpe_isp7sp,LIKELY_PLATFORM_MATCH,UNRESOLVED,,UNRESOLVED,MENTION_ONLY,0,0,0,0,,,,,
camera_eeprom_v4l2,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,0,0,0,kernel_modules/mtkcam/cam_cal/src_v4l2/custom/Kbuild:20:obj-m += camera_eeprom_v4l2.o,,,,
can,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,MENTION_ONLY,0,0,0,0,,,,,
can_bcm,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
can_dev,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
can_gw,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
can_raw,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
ccci_auxadc,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,EXACT_SOURCE_BASENAME,1,1,0,0,device_modules/drivers/misc/mediatek/eccci/Makefile:42:obj-$(CCCI_OBJ) += ccci_auxadc.o,device_modules/drivers/misc/mediatek/eccci/ccci_auxadc.c,,,device_modules/drivers/misc/mediatek/eccci/ccci_auxadc.c
ccci_ccif,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,0,0,0,device_modules/drivers/misc/mediatek/eccci/hif/Makefile:27:obj-$(CONFIG_MTK_ECCCI_DRIVER) += ccci_ccif.o,,,,
ccci_dpmaif,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,0,0,0,device_modules/drivers/misc/mediatek/eccci/hif/Makefile:39:obj-$(CONFIG_MTK_ECCCI_DRIVER) += ccci_dpmaif.o,,,,
ccci_fsm_scp,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,0,0,0,device_modules/drivers/misc/mediatek/eccci/fsm/Makefile:29:obj-$(CONFIG_MTK_ECCCI_DRIVER) += ccci_fsm_scp.o,,,,
ccci_md_all,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,0,0,0,device_modules/drivers/misc/mediatek/eccci/Makefile:45:obj-$(CCCI_OBJ) += ccci_md_all.o,,,,
ccci_util_lib,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,0,0,0,device_modules/drivers/misc/mediatek/ccci_util/Makefile:42:obj-$(CCCI_OBJ) += ccci_util_lib.o,,,,
ccd_rpmsg,LIKELY_PLATFORM_MATCH,UNRESOLVED,,UNRESOLVED,MENTION_ONLY,0,0,0,0,,,,,
ccmni,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,EXACT_SOURCE_BASENAME,1,1,0,0,device_modules/drivers/misc/mediatek/ccmni/Makefile:31:obj-$(CCCI_CCMNI_OBJ) += ccmni.o,device_modules/drivers/misc/mediatek/ccmni/ccmni.c,,,device_modules/drivers/misc/mediatek/ccmni/ccmni.c
cdc_acm,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
cdc_eem,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
cdc_ether,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
cdc_ncm,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,exact GKI build artifact,GOOGLE_GKI_ARTIFACT,NO_EXACT_EVIDENCE,0,0,0,0,,,,,
cfg80211,LIKELY_PLATFORM_MATCH,NOTHING_SOURCE,normalized source basename,NOTHING_SOURCE_BASENAME,EXACT_SOURCE_BASENAME,0,7,0,0,,device_modules/drivers/staging/wlan-ng/cfg80211.c || device_modules/drivers/net/wireless/quantenna/qtnfmac/cfg80211.c || device_modules/drivers/net/wireless/microchip/wilc1000/cfg80211.c || device_modules/drivers/net/wireless/marvell/mwifiex/cfg80211.c || device_modules/drivers/net/wireless/broadcom/brcm80211/brcmfmac/cfg80211.c,,,device_modules/drivers/staging/wlan-ng/cfg80211.c || device_modules/drivers/net/wireless/quantenna/qtnfmac/cfg80211.c || device_modules/drivers/net/wireless/microchip/wilc1000/cfg80211.c || device_modules/drivers/net/wireless/marvell/mwifiex/cfg80211.c || device_modules/drivers/net/wireless/broadcom/brcm80211/brcmfmac/cfg80211.c
charger_class,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,EXACT_SOURCE_BASENAME,1,1,0,0,device_modules/drivers/power/supply/Makefile:7:obj-$(CONFIG_MTK_CHARGER) += mtk_charger_framework.o mtk_pd_charging.o charger_class.o adapter_class.o mtk_charger_algorithm_class.o mtk_pd_adapter.o,device_modules/drivers/power/supply/charger_class.c,,,device_modules/drivers/power/supply/charger_class.c
charger_cooling,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,EXACT_SOURCE_BASENAME,1,1,0,0,device_modules/drivers/thermal/mediatek/Makefile:19:obj-$(CONFIG_MTK_CHARGER_THERMAL) += charger_cooling.o,device_modules/drivers/thermal/mediatek/charger_cooling.c,,,device_modules/drivers/thermal/mediatek/charger_cooling.c
clk_bringup,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,8,1,1,0,device_modules/drivers/clk/mediatek/Makefile:34:obj-$(CONFIG_COMMON_CLK_MT6878) += clk-mt6878.o clk-bringup.o || device_modules/drivers/clk/mediatek/Makefile:47:obj-$(CONFIG_COMMON_CLK_MT6897) += clk-mt6897.o clk-bringup.o || device_modules/drivers/clk/mediatek/Makefile:60:obj-$(CONFIG_COMMON_CLK_MT6886) += clk-mt6886.o clk-bringup.o || device_modules/drivers/clk/mediatek/Makefile:73:obj-$(CONFIG_COMMON_CLK_MT6983) += clk-mt6983.o clk-bringup.o || device_modules/drivers/clk/mediatek/Makefile:85:obj-$(CONFIG_COMMON_CLK_MT6985) += clk-mt6985.o clk-bringup.o,device_modules/drivers/clk/mediatek/clk-bringup.c,,,
clk_chk_mt6878,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,0,1,0,device_modules/drivers/clk/mediatek/Makefile:173:obj-$(CONFIG_COMMON_CLK_MT6878) += clk-chk-mt6878.o,,,,
clk_common,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,0,0,0,device_modules/drivers/clk/mediatek/Makefile:5:obj-$(CONFIG_DEVICE_MODULES_COMMON_CLK_MEDIATEK) += clk-common.o,,,,
clk_dbg_mt6878,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,0,1,0,device_modules/drivers/clk/mediatek/Makefile:179:obj-$(CONFIG_COMMON_CLK_MT6878) += clk-dbg-mt6878.o,,,,
clk_disable_unused,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,1,0,0,device_modules/drivers/clk/mediatek/Makefile:7:obj-$(CONFIG_DEVICE_MODULES_COMMON_CLK_MEDIATEK) += clk-disable-unused.o,device_modules/drivers/clk/mediatek/clk-disable-unused.c,,,
clk_fmeter_mt6878,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,1,1,1,device_modules/drivers/clk/mediatek/Makefile:175:obj-$(CONFIG_COMMON_CLK_MT6878) += clk-fmeter-mt6878.o,device_modules/drivers/clk/mediatek/clk-fmeter-mt6878.c,,,
clk_mt6878,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,1,1,1,device_modules/drivers/clk/mediatek/Makefile:34:obj-$(CONFIG_COMMON_CLK_MT6878) += clk-mt6878.o clk-bringup.o,device_modules/drivers/clk/mediatek/clk-mt6878.c,,,
clk_mt6878_adsp,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,1,1,1,device_modules/drivers/clk/mediatek/Makefile:35:obj-$(CONFIG_COMMON_CLK_MT6878_ADSP) += clk-mt6878-adsp.o,device_modules/drivers/clk/mediatek/clk-mt6878-adsp.c,,,
clk_mt6878_bus,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,1,1,1,device_modules/drivers/clk/mediatek/Makefile:41:obj-$(CONFIG_COMMON_CLK_MT6878_BUS) += clk-mt6878-bus.o,device_modules/drivers/clk/mediatek/clk-mt6878-bus.c,,,
clk_mt6878_cam,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,1,1,1,device_modules/drivers/clk/mediatek/Makefile:36:obj-$(CONFIG_COMMON_CLK_MT6878_CAM) += clk-mt6878-cam.o,device_modules/drivers/clk/mediatek/clk-mt6878-cam.c,,,
clk_mt6878_ccu,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,1,1,1,device_modules/drivers/clk/mediatek/Makefile:37:obj-$(CONFIG_COMMON_CLK_MT6878_CCU) += clk-mt6878-ccu.o,device_modules/drivers/clk/mediatek/clk-mt6878-ccu.c,,,
clk_mt6878_img,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,1,1,1,device_modules/drivers/clk/mediatek/Makefile:38:obj-$(CONFIG_COMMON_CLK_MT6878_IMG) += clk-mt6878-img.o,device_modules/drivers/clk/mediatek/clk-mt6878-img.c,,,
clk_mt6878_mdpsys,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,1,1,1,device_modules/drivers/clk/mediatek/Makefile:42:obj-$(CONFIG_COMMON_CLK_MT6878_MDPSYS) += clk-mt6878-mdpsys.o,device_modules/drivers/clk/mediatek/clk-mt6878-mdpsys.c,,,
clk_mt6878_mmsys,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,1,1,1,device_modules/drivers/clk/mediatek/Makefile:39:obj-$(CONFIG_COMMON_CLK_MT6878_MMSYS) += clk-mt6878-mmsys.o,device_modules/drivers/clk/mediatek/clk-mt6878-mmsys.c,,,
clk_mt6878_peri,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,1,1,1,device_modules/drivers/clk/mediatek/Makefile:40:obj-$(CONFIG_COMMON_CLK_MT6878_PERI) += clk-mt6878-peri.o,device_modules/drivers/clk/mediatek/clk-mt6878-peri.c,,,
clk_mt6878_vcodec,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,1,1,1,device_modules/drivers/clk/mediatek/Makefile:44:obj-$(CONFIG_COMMON_CLK_MT6878_VCODEC) += clk-mt6878-vcodec.o,device_modules/drivers/clk/mediatek/clk-mt6878-vcodec.c,,,
clk_mt6878_vlp,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,1,1,1,device_modules/drivers/clk/mediatek/Makefile:43:obj-$(CONFIG_COMMON_CLK_MT6878_VLP) += clk-mt6878-vlp.o,device_modules/drivers/clk/mediatek/clk-mt6878-vlp.c,,,
clkbuf,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,MENTION_ONLY,1,0,0,0,device_modules/drivers/misc/mediatek/clkbuf/Makefile:16:obj-$(CONFIG_MTK_CLKBUF_CTRL) += clkbuf.o,,,,
cmdq_helper_inf,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,EXACT_SOURCE_BASENAME,1,1,0,0,device_modules/drivers/misc/mediatek/mdp/Makefile:58:obj-$(CONFIG_MTK_MDP) += cmdq_helper_inf.o,device_modules/drivers/misc/mediatek/mdp/cmdq_helper_inf.c,,,device_modules/drivers/misc/mediatek/mdp/cmdq_helper_inf.c
cmdq_platform_mt6878,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,1,1,1,device_modules/drivers/misc/mediatek/cmdq/mailbox/Makefile:82:obj-$(CONFIG_MTK_CMDQ_MBOX_EXT) += cmdq-platform-mt6878.o,device_modules/drivers/misc/mediatek/cmdq/mailbox/cmdq-platform-mt6878.c,,,
cmdq_sec_drv,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,NO_EXACT_EVIDENCE,1,0,0,0,device_modules/drivers/misc/mediatek/cmdq/mailbox/Makefile:32:obj-$(CONFIG_MTK_CMDQ_MBOX_EXT) += cmdq-sec-drv.o,,,,
cmdq_test,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,normalized Make/Kbuild target,NOTHING_BUILD_TARGET,EXACT_SOURCE_BASENAME,1,2,0,0,device_modules/drivers/misc/mediatek/cmdq/mailbox/Makefile:43:obj-$(CONFIG_MTK_CMDQ_MBOX_EXT) += cmdq-test.o,device_modules/drivers/misc/mediatek/mdp/cmdq_test.c || device_modules/drivers/misc/mediatek/cmdq/mailbox/cmdq-test.c,,,device_modules/drivers/misc/mediatek/mdp/cmdq_test.c
connadp,LIKELY_PLATFORM_MATCH,UNRESOLVED,,UNRESOLVED,MENTION_ONLY,0,0,0,0,,,,,
