relocation_section	offset	info	type	symbol_value	symbol_expression
.rela.text	0x0000000000002308	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 1dd8
.rela.text	0x000000000000230c	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 1dd8
.rela.text	0x0000000000002310	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 153e
.rela.text	0x0000000000002314	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 153e
.rela.text	0x0000000000002320	000000ab0000011b	R_AARCH64_CALL26	0x0000000000000000	_printk + 0
.rela.text	0x0000000000002348	000000a80000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_lock + 0
.rela.text	0x0000000000002354	000000b50000011b	R_AARCH64_CALL26	0x0000000000000000	i2c_smbus_read_word_data + 0
.rela.text	0x0000000000002364	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x0000000000002378	000000a100000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x000000000000237c	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000002388	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x000000000000238c	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x00000000000023a8	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 20aa
.rela.text	0x00000000000023ac	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 20aa
.rela.text	0x00000000000023b0	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 20f9
.rela.text	0x00000000000023b4	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 20f9
.rela.text	0x00000000000023c0	000000ab0000011b	R_AARCH64_CALL26	0x0000000000000000	_printk + 0
.rela.text	0x00000000000023c8	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + e71
.rela.text	0x00000000000023cc	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + e71
.rela.text	0x00000000000023d0	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 67f
.rela.text	0x00000000000023d4	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 67f
.rela.text	0x00000000000023e0	000000ab0000011b	R_AARCH64_CALL26	0x0000000000000000	_printk + 0
.rela.text	0x0000000000002408	000000a80000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_lock + 0
.rela.text	0x0000000000002414	000000b50000011b	R_AARCH64_CALL26	0x0000000000000000	i2c_smbus_read_word_data + 0
.rela.text	0x0000000000002420	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x0000000000002428	000000a100000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x0000000000002430	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x000000000000243c	000000aa0000011b	R_AARCH64_CALL26	0x0000000000000000	mutex_unlock + 0
.rela.text	0x0000000000002440	000000a100000116	R_AARCH64_LDST8_ABS_LO12_NC	0x0000000000000000	fg_sh366003_log + 0
.rela.text	0x000000000000245c	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 20aa
.rela.text	0x0000000000002460	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 20aa
.rela.text	0x0000000000002464	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + 20f9
.rela.text	0x0000000000002468	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + 20f9
.rela.text	0x0000000000002474	000000ab0000011b	R_AARCH64_CALL26	0x0000000000000000	_printk + 0
.rela.text	0x000000000000247c	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + ed0
.rela.text	0x0000000000002480	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + ed0
.rela.text	0x0000000000002484	0000009800000113	R_AARCH64_ADR_PREL_PG_HI21	0x0000000000000000	.rodata.str1.1 + d8f
.rela.text	0x0000000000002488	0000009800000115	R_AARCH64_ADD_ABS_LO12_NC	0x0000000000000000	.rodata.str1.1 + d8f
.rela.text	0x0000000000002494	000000ab0000011b	R_AARCH64_CALL26	0x0000000000000000	_printk + 0
