symbol	stock_crc	gki_12901745_crc	provider	export_type	status
devm_kfree	0x8177f433	0x8177f433	vmlinux	EXPORT_SYMBOL_GPL	MATCH
devm_kmalloc	0xd50f026e	0xd50f026e	vmlinux	EXPORT_SYMBOL_GPL	MATCH
devm_request_threaded_irq	0x0570ef04	0x0570ef04	vmlinux	EXPORT_SYMBOL	MATCH
fortify_panic	0xcbd4898c	0xcbd4898c	vmlinux	EXPORT_SYMBOL	MATCH
gic_nonsecure_priorities	0x4b0a3f52	0x4b0a3f52	vmlinux	EXPORT_SYMBOL	MATCH
gpio_to_desc	0x0ec43f6f	0x0ec43f6f	vmlinux	EXPORT_SYMBOL_GPL	MATCH
gpiod_set_raw_value_cansleep	0x2db93e29	0x2db93e29	vmlinux	EXPORT_SYMBOL_GPL	MATCH
gpiod_to_irq	0xe46623a3	0xe46623a3	vmlinux	EXPORT_SYMBOL_GPL	MATCH
i2c_transfer	0xaf50d612	0xaf50d612	vmlinux	EXPORT_SYMBOL	MATCH
i2c_transfer_buffer_flags	0x51f60267	0x51f60267	vmlinux	EXPORT_SYMBOL	MATCH
init_timer_key	0x79cf5987	0x79cf5987	vmlinux	EXPORT_SYMBOL	MATCH
kfree	0x037a0cba	0x037a0cba	vmlinux	EXPORT_SYMBOL	MATCH
kmalloc_caches	0x0f15b38a	0x0f15b38a	vmlinux	EXPORT_SYMBOL	MATCH
kmalloc_trace	0xb78e7543	0xb78e7543	vmlinux	EXPORT_SYMBOL	MATCH
kstrtoint	0x8c8569cb	0x8c8569cb	vmlinux	EXPORT_SYMBOL	MATCH
kstrtouint	0x3b6c41ea	0x3b6c41ea	vmlinux	EXPORT_SYMBOL	MATCH
memcpy	0x4829a47e	0x4829a47e	vmlinux	EXPORT_SYMBOL	MATCH
memset	0xdcb764ad	0xdcb764ad	vmlinux	EXPORT_SYMBOL	MATCH
misc_deregister	0x94a9d12b	0x94a9d12b	vmlinux	EXPORT_SYMBOL	MATCH
misc_register	0x06987aeb	0x06987aeb	vmlinux	EXPORT_SYMBOL	MATCH
module_layout	0xea759d7f	0xea759d7f	vmlinux	EXPORT_SYMBOL	MATCH
msleep	0xf9a482f9	0xf9a482f9	vmlinux	EXPORT_SYMBOL	MATCH
mutex_lock	0xd5977bfb	0xd5977bfb	vmlinux	EXPORT_SYMBOL	MATCH
mutex_unlock	0xed55cabd	0xed55cabd	vmlinux	EXPORT_SYMBOL	MATCH
of_get_named_gpio_flags	0xb9ab15e7	0xb9ab15e7	vmlinux	EXPORT_SYMBOL_GPL	MATCH
of_property_read_string	0x000c9569	0x000c9569	vmlinux	EXPORT_SYMBOL_GPL	MATCH
of_property_read_variable_u32_array	0x94a3f9c7	0x94a3f9c7	vmlinux	EXPORT_SYMBOL_GPL	MATCH
power_supply_get_by_name	0x60e98d99	0x60e98d99	vmlinux	EXPORT_SYMBOL_GPL	MATCH
power_supply_get_property	0xd351924c	0xd351924c	vmlinux	EXPORT_SYMBOL_GPL	MATCH
queue_delayed_work_on	0xbf57e89e	0xbf57e89e	vmlinux	EXPORT_SYMBOL	MATCH
release_firmware	0xc6d09aa9	0xc6d09aa9	vmlinux	EXPORT_SYMBOL	MATCH
request_firmware	0x9c3fdf15	0x9c3fdf15	vmlinux	EXPORT_SYMBOL	MATCH
snd_pcm_format_width	0xe56a9336	0xe56a9336	vmlinux	EXPORT_SYMBOL	MATCH
snd_soc_add_component_controls	0x63fdd47f	0x63fdd47f	vmlinux	EXPORT_SYMBOL_GPL	MATCH
snd_soc_dapm_add_routes	0xb38ef37d	0xb38ef37d	vmlinux	EXPORT_SYMBOL_GPL	MATCH
snd_soc_dapm_new_controls	0x96388807	0x96388807	vmlinux	EXPORT_SYMBOL_GPL	MATCH
snd_soc_info_volsw	0xb0fbae85	0xb0fbae85	vmlinux	EXPORT_SYMBOL_GPL	MATCH
snd_soc_register_component	0x94646ac0	0x94646ac0	vmlinux	EXPORT_SYMBOL_GPL	MATCH
snd_soc_unregister_component	0x4a46772b	0x4a46772b	vmlinux	EXPORT_SYMBOL_GPL	MATCH
snprintf	0x656e4a6e	0x656e4a6e	vmlinux	EXPORT_SYMBOL	MATCH
sscanf	0xbcab6ee6	0xbcab6ee6	vmlinux	EXPORT_SYMBOL	MATCH
strcmp	0xe2d5255a	0xe2d5255a	vmlinux	EXPORT_SYMBOL	MATCH
strlen	0x98cf60b3	0x98cf60b3	vmlinux	EXPORT_SYMBOL	MATCH
strncmp	0x5a921311	0x5a921311	vmlinux	EXPORT_SYMBOL	MATCH
strnlen	0xa916b694	0xa916b694	vmlinux	EXPORT_SYMBOL	MATCH
strscpy	0xdd64e639	0xdd64e639	vmlinux	EXPORT_SYMBOL	MATCH
sysfs_create_group	0xf43d4bfe	0xf43d4bfe	vmlinux	EXPORT_SYMBOL_GPL	MATCH
sysfs_remove_group	0xf1d806db	0xf1d806db	vmlinux	EXPORT_SYMBOL_GPL	MATCH
usleep_range_state	0xc3055d20	0xc3055d20	vmlinux	EXPORT_SYMBOL	MATCH
vfree	0x999e8297	0x999e8297	vmlinux	EXPORT_SYMBOL	MATCH
vzalloc	0x40a9b349	0x40a9b349	vmlinux	EXPORT_SYMBOL	MATCH
