relocation_section	offset	type	target_addend	owning_function
.rela.text	0x4a4	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 103	tiny2c_usb_read_chipid
.rela.text	0x4f8	R_AARCH64_CALL26	i2c_transfer + 0	tiny2c_usb_read_chipid
.rela.text	0x50c	R_AARCH64_CALL26	_dev_info + 0	tiny2c_usb_read_chipid
.rela.text	0x558	R_AARCH64_CALL26	i2c_transfer + 0	tiny2c_usb_read_chipid
.rela.text	0x570	R_AARCH64_CALL26	_dev_info + 0	tiny2c_usb_read_chipid
.rela.text	0x588	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_read_chipid
.rela.text	0x594	R_AARCH64_ADR_PREL_PG_HI21	.bss + 0	tiny2c_usb_read_chipid
.rela.text	0x598	R_AARCH64_LDST32_ABS_LO12_NC	.bss + 0	tiny2c_usb_read_chipid
.rela.text	0x5d8	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 2fd	tiny2c_usb_read_chipid
.rela.text	0x5dc	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 2fd	tiny2c_usb_read_chipid
.rela.text	0x5e0	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 72	tiny2c_usb_read_chipid
.rela.text	0x5e4	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 72	tiny2c_usb_read_chipid
.rela.text	0x5f4	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_read_chipid
.rela.text	0x5fc	R_AARCH64_ADR_PREL_PG_HI21	.bss + 0	tiny2c_usb_read_chipid
.rela.text	0x600	R_AARCH64_LDST32_ABS_LO12_NC	.bss + 0	tiny2c_usb_read_chipid
.rela.text	0x608	R_AARCH64_CALL26	__stack_chk_fail + 0	tiny2c_usb_read_chipid
.rela.text	0x624	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 4cb	tiny2c_usb_i2c_probe
.rela.text	0x628	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 4cb	tiny2c_usb_i2c_probe
.rela.text	0x634	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 351	tiny2c_usb_i2c_probe
.rela.text	0x638	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 351	tiny2c_usb_i2c_probe
.rela.text	0x640	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_i2c_probe
.rela.text	0x648	R_AARCH64_CALL26	msleep + 0	tiny2c_usb_i2c_probe
.rela.text	0x650	R_AARCH64_CALL26	tiny2c_usb_read_chipid + 0	tiny2c_usb_i2c_probe
.rela.text	0x654	R_AARCH64_ADR_PREL_PG_HI21	.bss + 0	tiny2c_usb_i2c_probe
.rela.text	0x664	R_AARCH64_LDST32_ABS_LO12_NC	.bss + 0	tiny2c_usb_i2c_probe
.rela.text	0x668	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 11d	tiny2c_usb_i2c_probe
