seq	offset	op	size	raw_hex	detail
127	0x04b9	4	4	04020005	WAIT ms=5 selector=2
128	0x04bd	2	19	02aa3e0f484400640032000f013cfff6fe0c32	WRITE addr=0x55 reg=0x3e len=15 data=484400640032000f013cfff6fe0c32
129	0x04d0	4	4	04020002	WAIT ms=2 selector=2
130	0x04d4	2	6	02aa60026011	WRITE addr=0x55 reg=0x60 len=2 data=6011
131	0x04da	4	4	04020005	WAIT ms=5 selector=2
132	0x04de	2	38	02aa3e2255440000000000000000000000000000000000000000000000000000000000000000	WRITE addr=0x55 reg=0x3e len=34 data=55440000000000000000000000000000000000000000000000000000000000000000
133	0x0504	4	4	04020002	WAIT ms=2 selector=2
134	0x0508	2	6	02aa60026624	WRITE addr=0x55 reg=0x60 len=2 data=6624
135	0x050e	4	4	04020005	WAIT ms=5 selector=2
136	0x0512	2	22	02aa3e12754400000000000000000000000000000000	WRITE addr=0x55 reg=0x3e len=18 data=754400000000000000000000000000000000
137	0x0528	4	4	04020002	WAIT ms=2 selector=2
138	0x052c	2	6	02aa60024614	WRITE addr=0x55 reg=0x60 len=2 data=4614
139	0x0532	4	4	04020005	WAIT ms=5 selector=2
140	0x0536	2	38	02aa3e220046ced12088264d24022ae808d50ed70c181202103c163e14501aba181bfd81ff26	WRITE addr=0x55 reg=0x3e len=34 data=0046ced12088264d24022ae808d50ed70c181202103c163e14501aba181bfd81ff26
141	0x055c	4	4	04020002	WAIT ms=2 selector=2
142	0x0560	2	6	02aa60021f24	WRITE addr=0x55 reg=0x60 len=2 data=1f24
143	0x0566	4	4	04020005	WAIT ms=5 selector=2
144	0x056a	2	38	02aa3e222046c137c3b1c52ac72cc9cfcbefcdcfcf2ef14ef30df5e9f7ecf983fb61fd64ff88	WRITE addr=0x55 reg=0x3e len=34 data=2046c137c3b1c52ac72cc9cfcbefcdcfcf2ef14ef30df5e9f7ecf983fb61fd64ff88
145	0x0590	4	4	04020002	WAIT ms=2 selector=2
146	0x0594	2	6	02aa6002a024	WRITE addr=0x55 reg=0x60 len=2 data=a024
147	0x059a	4	4	04020005	WAIT ms=5 selector=2
148	0x059e	2	24	02aa3e144046811783b7855687a889a78b058de0ef70d1ff	WRITE addr=0x55 reg=0x3e len=20 data=4046811783b7855687a889a78b058de0ef70d1ff
149	0x05b6	4	4	04020002	WAIT ms=2 selector=2
150	0x05ba	2	6	02aa60024116	WRITE addr=0x55 reg=0x60 len=2 data=4116
151	0x05c0	4	4	04020005	WAIT ms=5 selector=2
152	0x05c4	2	38	02aa3e225246cd6eebc0891e87b9e569837281a7bfefbd8cbb9d99eeb7be9549934991c28fe9	WRITE addr=0x55 reg=0x3e len=34 data=5246cd6eebc0891e87b9e569837281a7bfefbd8cbb9d99eeb7be9549934991c28fe9
153	0x05ea	4	4	04020002	WAIT ms=2 selector=2
154	0x05ee	2	6	02aa60025f24	WRITE addr=0x55 reg=0x60 len=2 data=5f24
155	0x05f4	4	4	04020005	WAIT ms=5 selector=2
156	0x05f8	2	38	02aa3e2272468d8e7411561d38b95a055cbf5e07a091a262a4a786de88473589f398d1f6af2c	WRITE addr=0x55 reg=0x3e len=34 data=72468d8e7411561d38b95a055cbf5e07a091a262a4a786de88473589f398d1f6af2c
157	0x061e	4	4	04020002	WAIT ms=2 selector=2
158	0x0622	2	6	02aa6002c624	WRITE addr=0x55 reg=0x60 len=2 data=c624
159	0x0628	4	4	04020005	WAIT ms=5 selector=2
160	0x062c	2	22	02aa3e1292468d06ab25e93be72c253562e3439c3e4c	WRITE addr=0x55 reg=0x3e len=18 data=92468d06ab25e93be72c253562e3439c3e4c
161	0x0642	4	4	04020002	WAIT ms=2 selector=2
