sha256	module_name	filename	locations	crc	symbol
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xeae3dfd6	__const_udelay
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xa4a78f74	tcpc_dev_get_by_name
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x48fb7437	pd_dbg_info
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xdad58a05	tcpc_typec_is_act_as_sink_role
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x4829a47e	memcpy
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xd653b126	sched_clock
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x0ab94724	tcpci_alert_wakeup
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xc4f47221	mod_delayed_work_on
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xcec4c0ab	tcpc_typec_handle_fod
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xcbe57860	tcpc_typec_handle_ctd
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x5bcd512c	tcpc_typec_handle_otp
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x6f2d399b	tcpci_notify_cc_hi
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x5f619089	tcpci_notify_wd0_state
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xe088ef99	pm_stay_awake
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x95642690	tcpci_alert
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xf28b90d8	pm_relax
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x1ccba3ae	tcpm_suspend
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xf7af27dd	tcpm_resume
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0x446dd691	tcpm_check_suspend_pending
30abac643ebc7428a5ff350741d22b0f4bdcf65a5a071f55ec7ba78d862ca750	tcpc_mt6375	tcpc_mt6375.ko	vendor_boot_platform	0xea759d7f	module_layout
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0x92997ed8	_printk
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0x50f5d94e	i2c_register_driver
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0xfee5be94	i2c_del_driver
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0xd50f026e	devm_kmalloc
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0x66e8ab95	devm_gpiod_get
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0xd4b590ed	device_property_present
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0x49cd25ed	alloc_workqueue
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0xa8cb2b21	devm_gpiod_put
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0xe46623a3	gpiod_to_irq
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0x94a3f9c7	of_property_read_variable_u32_array
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0xed55cabd	mutex_unlock
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0xd5977bfb	mutex_lock
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0x6dbacf3b	gpiod_set_value
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0xc3055d20	usleep_range_state
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0x141e73eb	gpiod_direction_output
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0xf9a482f9	msleep
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0xff3802dc	gpiod_direction_input
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0xd9a5ea54	__init_waitqueue_head
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0xa571f6b0	__mutex_init
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0x967ec840	desc_to_gpio
5c5945457f8e3f37744c95a98075278134a328590d27e00d38dd8de8261078e8	st21nfc	st21nfc.ko	vendor_boot_platform	0x06987aeb	misc_register
