file_offset	string
0x9064	3[HYN][Error]chip type error,please check firmware.
0x909c	3[HYN]config [hyn] scan_id = %d,config_chip_type:0x%x.
0x90d6	3[HYN][A]All Up!
0x90e9	3[HYN][Error]i2c_master_recv i2c read error.
0x9118	get tp fw version fail!
0x9132	3[HYN][Info]chip_ic_fw_version:0x%x, chip_ic_checksum:0x%x
0x9171	3[HYN][Info]chip_ic_module_id:0x%x.
0x9197	hyn_gesture_suspend
0x91ac	3[HYN][Info]check_gesture ======================report_key==0x%x   ================
0x9204	3[HYN][Error]hyn_enter_deep_sleep
0x9228	3[HYN]DTS max touch number:%d, irq gpio:%d, reset gpio:%d,vdd_gpio:%d
0x9270	3[HYN][Error]Unable to read %s, please check dts
0x92a3	3[HYN][Error]Touch Probe : hyn_update_firmware_init  fail...
0x92e1	hyn_i2c_write_bytes
0x92f5	hynitron_debug
0x9305	3[HYN][Info]hyn_irq_disable enter.
0x932b	3[HYN][Info]hyn_fwupgradeapp_store enter.
0x9358	3[HYN][Info]hyn_fwupgradeapp_store GFP_KERNEL memory fail.
0x9395	hyn_boot_update_fw
0x93a9	3[HYN][Info]please chekc hynitron_fw_grp fw config!
0x93e0	3[HYN][Info][GESTURE]enable gesture
0x9405	hynitron,irq-gpio
0x9417	/mnt/%s
0x941f	cst3xxse_bootloader_enter
0x943a	3[HYN][Error][GESTURE]hyn_gesture_mode_group(sysfs) create failed!
0x947e	Gesture ID: 0x%x
0x9491	3[HYN][Info]input_report_key---done==0x%x   ================
0x94d2	3[HYN]HYN read tpd_touchinfo.
0x94f2	3[HYN][A]P%d(%4d,%4d) DOWN!
0x950f	hyn_parse_dt
0x951c	Vno: %x. %x. %x. %x.
0x9533	3[HYN][Error]hyn not find config chip type firmware,please check config chip type or firmware.proj_id=%d
0x959f	3[HYN]cst8xx_bootloader_enter detect success,cmd[0]=%d.
0x95da	3[HYN][Info]check_gesture ======================last report_key==0x%x   ================
0x9636	hyn_platform_data_init
0x964e	3[HYN]Number of touch points = %d
0x9671	hynitron,key-number
0x9686	3[HYN][Error]Key X Coords undefined!
0x96ac	hynitron,reset-gpio
0x96c1	3[HYN][Error]DTS Unable to get reset_gpio
