module_name,normalized_name,classifications,status,nothing_target_hits,nothing_source_hits,mt6878_target_hits,mt6878_source_hits,target_examples,source_examples
rt4831a_drv,rt4831a_drv,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/misc/mediatek/gate_ic/Makefile:13:obj-$(CONFIG_RT4831A_I2C) += rt4831a_drv.o,device_modules/drivers/misc/mediatek/gate_ic/rt4831a_drv.c
rt5133_regulator,rt5133_regulator,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/regulator/Makefile:22:obj-$(CONFIG_REGULATOR_RT5133)  += rt5133-regulator.o,device_modules/drivers/regulator/rt5133-regulator.c
rt6160_regulator,rt6160_regulator,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/regulator/Makefile:23:obj-$(CONFIG_DEVICE_MODULES_REGULATOR_RT6160)	+= rt6160-regulator.o,device_modules/drivers/regulator/rt6160-regulator.c
rt_pd_manager,rt_pd_manager,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/misc/mediatek/typec/tcpc/Makefile:24:obj-$(CONFIG_TCPC_CLASS) += tcpc_class.o tcpci_late_sync.o pd_dbg_info.o rt_pd_manager.o,device_modules/drivers/misc/mediatek/typec/tcpc/rt_pd_manager.c
rtc_mt6685,rtc_mt6685,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/rtc/Makefile:12:obj-$(CONFIG_RTC_DRV_MT6685)	+= rtc-mt6685.o,device_modules/drivers/rtc/rtc-mt6685.c
rtl8150,rtl8150,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
sapu,sapu,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/misc/mediatek/apusys/sapu/Makefile:18:obj-$(CONFIG_MTK_APUSYS_SUPPORT) += sapu.o,
scheduler,scheduler,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/misc/mediatek/sched/Makefile:1:obj-$(CONFIG_MTK_SCHEDULER) += scheduler.o,
scheduler_ext,scheduler_ext,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,kernel_modules/sched_cus/Kbuild:41:obj-m += scheduler_ext.o,
scp,scp,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/misc/mediatek/scp/rv/Makefile:1:obj-$(CONFIG_MTK_TINYSYS_SCP_SUPPORT) += scp.o,
sec,sec,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/misc/mediatek/masp/Makefile:15:obj-$(CONFIG_MTK_SECURITY_SW_SUPPORT) += sec.o,
sec_rng,sec_rng,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/char/hw_random/Makefile:6:obj-$(CONFIG_HW_RANDOM_SECURE) += sec-rng.o,device_modules/drivers/char/hw_random/sec-rng.c
sensorhub,sensorhub,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/misc/mediatek/sensor/2.0/sensorhub/Makefile:5:obj-$(CONFIG_MTK_SENSORHUB) += sensorhub.o,
slcan,slcan,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
slhc,slhc,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
smpu,smpu,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/memory/mediatek/Makefile:8:obj-$(CONFIG_MTK_EMI) += smpu.o,device_modules/drivers/memory/mediatek/smpu.c
smpu_hook_v1,smpu_hook_v1,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/memory/mediatek/Makefile:11:obj-$(CONFIG_MTK_EMI) += smpu-hook-v1.o,device_modules/drivers/memory/mediatek/smpu-hook-v1.c
snd_soc_audiodsp_common,snd_soc_audiodsp_common,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/sound/soc/mediatek/audio_dsp/Makefile:29:obj-$(CONFIG_SND_SOC_MTK_AUDIO_DSP) += snd-soc-audiodsp-common.o,
snd_soc_mt6369,snd_soc_mt6369,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/sound/soc/codecs/Makefile:36:obj-$(CONFIG_DEVICE_MODULES_SND_SOC_MT6369)	+= snd-soc-mt6369.o,
snd_soc_mt6878_afe,snd_soc_mt6878_afe,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,1,0,device_modules/sound/soc/mediatek/mt6878/Makefile:20:obj-$(CONFIG_DEVICE_MODULES_SND_SOC_MT6878) += snd-soc-mt6878-afe.o,
snd_soc_mtk_common,snd_soc_mtk_common,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/sound/soc/mediatek/common/Makefile:15:obj-$(CONFIG_DEVICE_MODULES_SND_SOC_MEDIATEK) += snd-soc-mtk-common.o,
snd_soc_mtk_scp_ultra,snd_soc_mtk_scp_ultra,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/sound/soc/mediatek/ultrasound/ultra_scp/Makefile:21:obj-$(CONFIG_MTK_ULTRASND_PROXIMITY) += snd-soc-mtk-scp-ultra.o,
snd_soc_tfa98xx,snd_soc_tfa98xx,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/sound/soc/codecs/tfa98xx/Makefile:35:obj-$(CONFIG_SND_SOC_TFA9874) += snd-soc-tfa98xx.o,
soc_temp_lvts,soc_temp_lvts,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/thermal/mediatek/Makefile:13:obj-$(CONFIG_MTK_SOC_THERMAL_LVTS)	+= soc_temp_lvts.o,device_modules/drivers/thermal/mediatek/soc_temp_lvts.c
spi_mt65xx,spi_mt65xx,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/spi/Makefile:8:obj-$(CONFIG_DEVICE_MODULES_SPI_MT65XX)                += spi-mt65xx.o,device_modules/drivers/spi/spi-mt65xx.c
spmi_mtk_mpu,spmi_mtk_mpu,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/spmi/Makefile:7:obj-$(CONFIG_DEVICE_MODULES_SPMI_MTK_PMIF)	+= spmi-mtk-pmif.o spmi-mtk-mpu.o,device_modules/drivers/spmi/spmi-mtk-mpu.c
