symbol,crc,provider_kind,provider_modules,provider_module_count,consumer_modules,consumer_module_count,import_record_count,in_kernel_base,in_kernel_mtk,in_kernel_nothing,in_device_base,in_device_mtk,in_device_mtk_union,in_kernel_nothing_union,in_any_published_nothing_list
__dev_kfree_skb_irq,0xad728207,KERNEL_OR_BUILTIN,,0,bluetooth;hci_uart;rfcomm;rtl8150,4,5,0,1,0,0,0,0,1,1
__dev_queue_xmit,0xf4b25665,KERNEL_OR_BUILTIN,,0,8021q;can;ieee802154_6lowpan;ieee802154_socket;mac80211;tipc,6,6,0,1,0,0,0,0,1,1
__device_reset,0x4cc911be,KERNEL_OR_BUILTIN,,0,xhci_mtk_hcd_v2,1,1,0,1,0,0,0,0,1,1
__devm_alloc_percpu,0xafc0a60c,KERNEL_OR_BUILTIN,,0,gz_trusty_mod,1,1,0,1,0,0,1,1,1,1
__devm_iio_device_register,0x7930d674,KERNEL_OR_BUILTIN,,0,mt6375_adc;mt6375_auxadc;mtk_spmi_pmic_adc,3,3,0,1,0,0,1,1,1,1
__devm_of_phy_provider_register,0x041c29ed,KERNEL_OR_BUILTIN,,0,mediatek_drm;phy_mtk_ufs;phy_mtk_xsphy,3,3,0,1,0,0,1,1,1,1
__devm_regmap_init,0x78d75b61,KERNEL_OR_BUILTIN,,0,mt6375;mtk_pmic_wrap;rt5133_regulator,3,3,0,1,0,0,1,1,1,1
__devm_regmap_init_i2c,0x1bab1211,KERNEL_OR_BUILTIN,,0,aw36515;aw36518;aw36518_v2;leds_rgb_aw2013;mt6338_core;rt6160_regulator;sc851x_charger;sc8571_charger;snd_soc_tfa98xx,9,9,0,1,0,0,1,1,1,1
__devm_regmap_init_mmio_clk,0x6820f16e,KERNEL_OR_BUILTIN,,0,snd_soc_mt6878_afe,1,1,0,1,0,0,1,1,1,1
__devm_regmap_init_spmi_ext,0x1ca87cdd,KERNEL_OR_BUILTIN,,0,mt6685_core;mtk_spmi_pmic,2,2,0,1,0,0,0,0,1,1
__devm_reset_control_get,0xb86f1eec,KERNEL_OR_BUILTIN,,0,mtk_mmc;mtk_pmic_wrap;soc_temp_lvts;ufs_mediatek_mod,4,4,0,1,0,0,1,1,1,1
__devm_rtc_register_device,0x4a3b3586,KERNEL_OR_BUILTIN,,0,rtc_mt6685,1,1,0,1,0,0,1,1,1,1
__devres_alloc_node,0xb77e7bf8,KERNEL_OR_BUILTIN,,0,extdev_io_class;kfifo_buf;reboot_mode,3,3,0,1,0,0,1,1,1,1
__drm_atomic_helper_connector_destroy_state,0x3866cd2b,KERNEL_OR_BUILTIN,,0,mediatek_drm,1,1,0,1,0,0,0,0,1,1
__drm_atomic_helper_connector_duplicate_state,0x54872645,KERNEL_OR_BUILTIN,,0,mediatek_drm,1,1,0,1,0,0,0,0,1,1
__drm_atomic_helper_connector_reset,0x29764194,KERNEL_OR_BUILTIN,,0,mediatek_drm,1,1,0,1,0,0,0,0,1,1
__drm_atomic_helper_crtc_destroy_state,0xab75bef4,KERNEL_OR_BUILTIN,,0,mediatek_drm,1,1,0,1,0,0,1,1,1,1
__drm_atomic_helper_crtc_duplicate_state,0x64c68dc3,KERNEL_OR_BUILTIN,,0,mediatek_drm,1,1,0,1,0,0,1,1,1,1
__drm_atomic_helper_plane_destroy_state,0xa1424581,KERNEL_OR_BUILTIN,,0,mediatek_drm,1,1,0,1,0,0,1,1,1,1
__drm_atomic_helper_plane_duplicate_state,0x26fab918,KERNEL_OR_BUILTIN,,0,mediatek_drm,1,1,0,1,0,0,1,1,1,1
__drm_atomic_helper_private_obj_duplicate_state,0xa4f72029,KERNEL_OR_BUILTIN,,0,drm_display_helper,1,1,0,1,0,0,0,0,1,1
__drm_atomic_state_free,0xb9cad492,KERNEL_OR_BUILTIN,,0,mediatek_drm,1,1,0,1,0,0,1,1,1,1
__drm_crtc_commit_free,0xae277372,KERNEL_OR_BUILTIN,,0,drm_display_helper,1,1,0,1,0,0,0,0,1,1
__drm_debug,0x69353664,KERNEL_OR_BUILTIN,,0,drm_display_helper,1,1,0,1,0,0,0,0,1,1
__drm_dev_dbg,0x065ad6d0,KERNEL_OR_BUILTIN,,0,drm_display_helper;drm_dma_helper,2,2,0,1,0,0,0,0,1,1
__drm_err,0xb11ac7a7,KERNEL_OR_BUILTIN,,0,drm_display_helper;drm_dma_helper;mediatek_drm,3,3,0,1,0,0,1,1,1,1
__drm_printfn_debug,0xf824c7db,KERNEL_OR_BUILTIN,,0,drm_display_helper,1,1,0,1,0,0,0,0,1,1
__ethtool_get_link_ksettings,0xae545be3,KERNEL_OR_BUILTIN,,0,8021q,1,1,0,1,0,0,0,0,1,1
__fdget,0xc1d8cfaf,KERNEL_OR_BUILTIN,,0,gzvm;hbt,2,2,0,1,0,0,0,0,1,1
__flush_workqueue,0x9166fc03,KERNEL_OR_BUILTIN,,0,apusys;bluetooth;bt_drv_6878;c2k_usb;dw9781c;ged;gzvm;hynitron;l2tp_core;load_track;mac80211;mac802154;mali_kbase_mt6878_r44;mtk_hcp;mtk_imgsys_v4l2;mtk_lpm_dbg_common_v2;mtk_mbraink;mtk_swpm;mtk_vcodec_common;mtk_vcodec_dec_v1;mtk_vcodec_enc_v1;mtu3;scp;sensorhub;vcp,25,26,0,1,0,0,0,0,1,1
__folio_lock,0xad6ef96e,KERNEL_OR_BUILTIN,,0,mali_kbase_mt6878_r44,1,1,0,1,1,0,0,0,1,1
__folio_put,0x2c38db08,KERNEL_OR_BUILTIN,,0,ccci_dpmaif;gz_main_mod;gz_tz_system;gzvm;mali_kbase_mt6878_r44;monitor_hang;r8152;zsmalloc,8,8,0,1,1,0,0,0,1,1
__free_pages,0xcd5271aa,KERNEL_OR_BUILTIN,,0,ccci_util_lib;mali_dmabuf_test_mt6878_r44;mali_kbase_mt6878_r44;mali_mgm_mt6878_r44;mediatek_drm;mtk_sec_heap;r8152;system_heap;tmem_ffa;zsmalloc,10,10,0,1,0,0,1,1,1,1
