sha256	module_name	filename	locations	symbol
cf615930c1a615dd386e2a120da791fcc63de854e126de94bc0fa93cc799de06	mtk_mmdvfs_debug	mtk-mmdvfs-debug.ko	vendor_boot_platform	mtk_mmdvfs_debug_release_step0
d0c3107dac0ee8a3f2b09006a19234e51f13711eb42f4459cb6d60d1c9194286	rps_perf	rps_perf.ko	vendor_dlkm	set_rps_map
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	__hci_cmd_send
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	__hci_cmd_sync
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	__hci_cmd_sync_ev
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	__hci_cmd_sync_sk
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	__hci_cmd_sync_status
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	__hci_cmd_sync_status_sk
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	baswap
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_accept_dequeue
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_accept_enqueue
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_accept_unlink
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_debugfs
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_err
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_err_ratelimited
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_info
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_procfs_cleanup
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_procfs_init
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_sock_alloc
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_sock_ioctl
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_sock_link
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_sock_linked
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_sock_poll
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_sock_reclassify_lock
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_sock_recvmsg
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_sock_register
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_sock_stream_recvmsg
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_sock_unlink
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_sock_unregister
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_sock_wait_ready
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_sock_wait_state
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_status
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_to_errno
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_warn
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	bt_warn_ratelimited
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_alloc_dev_priv
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_cmd_sync
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_cmd_sync_cancel
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_cmd_sync_queue
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_cmd_sync_status
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_cmd_sync_submit
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_conn_check_secure
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_conn_security
d2659fb37cd1d08469eac25bff927efb54390fdaf598532c0a9ddfa219b22555	bluetooth	bluetooth.ko	system_dlkm	hci_conn_switch_role
