symbol	stock_crc	provider	provider_sha256	provider_locations	exact_gki_crc	reconstructed_provider_crc	rebuilt_consumer_crc	parity
v4l2_ctrl_new_std	0x8e267b3b	vmlinux		GKI //common:kernel_aarch64	0x8e267b3b	0x8e267b3b	0x8e267b3b	MATCH
v4l2_ctrl_handler_free	0x2cac929d	vmlinux		GKI //common:kernel_aarch64	0x2cac929d	0x2cac929d	0x2cac929d	MATCH
of_find_node_by_name	0xc473e973	vmlinux		GKI //common:kernel_aarch64	0xc473e973	0xc473e973	0xc473e973	MATCH
of_property_read_variable_u32_array	0x94a3f9c7	vmlinux		GKI //common:kernel_aarch64	0x94a3f9c7	0x94a3f9c7	0x94a3f9c7	MATCH
media_entity_pads_init	0xd2c7eba4	vmlinux		GKI //common:kernel_aarch64	0xd2c7eba4	0xd2c7eba4	0xd2c7eba4	MATCH
v4l2_async_register_subdev	0x64ab86bc	vmlinux		GKI //common:kernel_aarch64	0x64ab86bc	0x64ab86bc	0x64ab86bc	MATCH
pm_runtime_enable	0x6a902ced	vmlinux		GKI //common:kernel_aarch64	0x6a902ced	0x6a902ced	0x6a902ced	MATCH
device_create_file	0xe25f59ab	vmlinux		GKI //common:kernel_aarch64	0xe25f59ab	0xe25f59ab	0xe25f59ab	MATCH
thermal_of_cooling_device_register	0xaaba57f7	vmlinux		GKI //common:kernel_aarch64	0xaaba57f7	0xaaba57f7	0xaaba57f7	MATCH
regmap_read	0xe4fcaad8	vmlinux		GKI //common:kernel_aarch64	0xe4fcaad8	0xe4fcaad8	0xe4fcaad8	MATCH
msleep	0xf9a482f9	vmlinux		GKI //common:kernel_aarch64	0xf9a482f9	0xf9a482f9	0xf9a482f9	MATCH
regmap_write	0x2971bc8d	vmlinux		GKI //common:kernel_aarch64	0x2971bc8d	0x2971bc8d	0x2971bc8d	MATCH
__stack_chk_fail	0xc2c193d2	vmlinux		GKI //common:kernel_aarch64	0xc2c193d2	0xc2c193d2	0xc2c193d2	MATCH
thermal_cooling_device_unregister	0xec93f466	vmlinux		GKI //common:kernel_aarch64	0xec93f466	0xec93f466	0xec93f466	MATCH
v4l2_device_unregister_subdev	0x833bc630	vmlinux		GKI //common:kernel_aarch64	0x833bc630	0x833bc630	0x833bc630	MATCH
__pm_runtime_disable	0x05e59274	vmlinux		GKI //common:kernel_aarch64	0x05e59274	0x05e59274	0x05e59274	MATCH
__pm_runtime_set_status	0x22808c6a	vmlinux		GKI //common:kernel_aarch64	0x22808c6a	0x22808c6a	0x22808c6a	MATCH
of_get_next_child	0x96461ca6	vmlinux		GKI //common:kernel_aarch64	0x96461ca6	0x96461ca6	0x96461ca6	MATCH
is_yft_cts_board	0xad70697b	yft_devinfo	0d5e547e3e6c313c88695b2c8f9aae04398e3c8822f16d57dff6aea011f821fe	vendor_boot_platform;vendor_dlkm	N/A	0xad70697b	0xad70697b	MATCH
flashlight_dev_register_by_device_id	0xe8fd8896	flashlight	87b18cde1f47c857689602c3232f14874e84fb65b445e4308e80f04728bdefae	vendor_dlkm	N/A	0xe8fd8896	0xe8fd8896	MATCH
__pm_runtime_resume	0xabe820ab	vmlinux		GKI //common:kernel_aarch64	0xabe820ab	0xabe820ab	0xabe820ab	MATCH
alt_cb_patch_nops	0x1348649e	vmlinux		GKI //common:kernel_aarch64	0x1348649e	0x1348649e	0x1348649e	MATCH
__pm_runtime_idle	0x14cee5de	vmlinux		GKI //common:kernel_aarch64	0x14cee5de	0x14cee5de	0x14cee5de	MATCH
mutex_lock	0xd5977bfb	vmlinux		GKI //common:kernel_aarch64	0xd5977bfb	0xd5977bfb	0xd5977bfb	MATCH
mutex_unlock	0xed55cabd	vmlinux		GKI //common:kernel_aarch64	0xed55cabd	0xed55cabd	0xed55cabd	MATCH
regmap_update_bits_base	0xb1d8e449	vmlinux		GKI //common:kernel_aarch64	0xb1d8e449	0xb1d8e449	0xb1d8e449	MATCH
flashlight_kicker_pbm	0x8287fd03	flashlight	87b18cde1f47c857689602c3232f14874e84fb65b445e4308e80f04728bdefae	vendor_dlkm	N/A	0x8287fd03	0x8287fd03	MATCH
gpio_to_desc	0x0ec43f6f	vmlinux		GKI //common:kernel_aarch64	0x0ec43f6f	0x0ec43f6f	0x0ec43f6f	MATCH
gpiod_set_raw_value	0x8dae9ed0	vmlinux		GKI //common:kernel_aarch64	0x8dae9ed0	0x8dae9ed0	0x8dae9ed0	MATCH
sscanf	0xbcab6ee6	vmlinux		GKI //common:kernel_aarch64	0xbcab6ee6	0xbcab6ee6	0xbcab6ee6	MATCH
pm_runtime_force_suspend	0xe47cf318	vmlinux		GKI //common:kernel_aarch64	0xe47cf318	0xe47cf318	0xe47cf318	MATCH
pm_runtime_force_resume	0xc4585928	vmlinux		GKI //common:kernel_aarch64	0xc4585928	0xc4585928	0xc4585928	MATCH
