relocation_section	offset	type	symbol	addend
.rela.text	0x00000000000003a0	R_AARCH64_CALL26	pinctrl_select_state	+0
.rela.text	0x00000000000003a4	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x00000000000003b4	R_AARCH64_CALL26	__pm_relax	+0
.rela.text	0x00000000000003bc	R_AARCH64_CALL26	__stack_chk_fail	+0
.rela.text	0x00000000000003dc	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+604
.rela.text	0x00000000000003e0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+604
.rela.text	0x00000000000003e4	R_AARCH64_CALL26	_printk	+0
.rela.text	0x00000000000003f0	R_AARCH64_ADR_PREL_PG_HI21	.bss	+0
.rela.text	0x00000000000003f8	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000400	R_AARCH64_CALL26	gpio_to_desc	+0
.rela.text	0x0000000000000404	R_AARCH64_CALL26	gpiod_get_raw_value	+0
.rela.text	0x0000000000000408	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000414	R_AARCH64_CALL26	gpio_to_desc	+0
.rela.text	0x0000000000000418	R_AARCH64_CALL26	gpiod_get_raw_value	+0
.rela.text	0x0000000000000420	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+12
.rela.text	0x0000000000000424	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+12
.rela.text	0x0000000000000428	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+146
.rela.text	0x000000000000042c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+146
.rela.text	0x0000000000000434	R_AARCH64_CALL26	_printk	+0
.rela.text	0x0000000000000438	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000448	R_AARCH64_ADR_PREL_PG_HI21	ln2403_leds_str	+0
.rela.text	0x000000000000044c	R_AARCH64_ADD_ABS_LO12_NC	ln2403_leds_str	+0
.rela.text	0x0000000000000450	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+4a8
.rela.text	0x0000000000000454	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+4a8
.rela.text	0x0000000000000464	R_AARCH64_CALL26	scnprintf	+0
.rela.text	0x00000000000004a8	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+697
.rela.text	0x00000000000004ac	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+697
.rela.text	0x00000000000004c0	R_AARCH64_CALL26	sscanf	+0
.rela.text	0x00000000000004fc	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+622
.rela.text	0x0000000000000500	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+622
.rela.text	0x0000000000000504	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+4ac
.rela.text	0x0000000000000508	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+4ac
.rela.text	0x000000000000050c	R_AARCH64_CALL26	_printk	+0
.rela.text	0x0000000000000510	R_AARCH64_ADR_PREL_PG_HI21	.bss	+0
.rela.text	0x0000000000000514	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x000000000000051c	R_AARCH64_CALL26	hrtimer_cancel	+0
.rela.text	0x0000000000000524	R_AARCH64_ADR_PREL_PG_HI21	.bss	+28
.rela.text	0x0000000000000528	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000538	R_AARCH64_LDST32_ABS_LO12_NC	.bss	+28
