index	relocation_section	target_section	offset_hex	type	symbol	addend	info	symbol_value
377	.rela.text	.text	0x1480	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	f1	0000009500000115	0000000000000000
378	.rela.text	.text	0x1488	R_AARCH64_CALL26	_dev_info	0	000000ab0000011b	0000000000000000
379	.rela.text	.text	0x1490	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	6be	0000009500000113	0000000000000000
380	.rela.text	.text	0x1494	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	6be	0000009500000115	0000000000000000
381	.rela.text	.text	0x1498	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	247	0000009500000113	0000000000000000
382	.rela.text	.text	0x149c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	247	0000009500000115	0000000000000000
383	.rela.text	.text	0x14a4	R_AARCH64_CALL26	_dev_info	0	000000ab0000011b	0000000000000000
384	.rela.text	.text	0x14c0	R_AARCH64_CALL26	regmap_field_update_bits_base	0	000000ac0000011b	0000000000000000
385	.rela.text	.text	0x14d0	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	83c	0000009500000113	0000000000000000
386	.rela.text	.text	0x14d4	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	83c	0000009500000115	0000000000000000
387	.rela.text	.text	0x14e0	R_AARCH64_CALL26	__stack_chk_fail	0	000000aa0000011b	0000000000000000
388	.rela.text	.text	0x1514	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	6be	0000009500000113	0000000000000000
389	.rela.text	.text	0x1518	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	6be	0000009500000115	0000000000000000
390	.rela.text	.text	0x151c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	a31	0000009500000113	0000000000000000
391	.rela.text	.text	0x1520	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	a31	0000009500000115	0000000000000000
