
Symbol table '.symtab' contains 165 entries:
   Num:    Value          Size Type    Bind   Vis       Ndx Name
   127: 0000000000000000     0 SECTION LOCAL  DEFAULT    34 .comment
   128: 0000000000000968   136 FUNC    GLOBAL DEFAULT    13 will_ldo_vout
   129: 00000000000009f4    72 FUNC    GLOBAL DEFAULT    13 will_ldo_en
   130: 0000000000000004    92 FUNC    GLOBAL DEFAULT    13 wl2864c_vin2_power
   131: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND _printk
   132: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND gpio_to_desc
   133: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND gpiod_set_raw_value
   134: 0000000000000064   576 FUNC    GLOBAL DEFAULT    13 wl2864c_ldo_vout
   135: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND i2c_transfer
   136: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND _dev_info
   137: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND __stack_chk_fail
   138: 00000000000002a8   572 FUNC    GLOBAL DEFAULT    13 wl2864c_ldo_en
   139: 00000000000004e8   576 FUNC    GLOBAL DEFAULT    13 wl2868c_ldo_vout
   140: 000000000000072c   568 FUNC    GLOBAL DEFAULT    13 wl2868c_ldo_en
   141: 0000000000000a40    84 FUNC    GLOBAL DEFAULT    13 wl2864c_llseek
   142: 0000000000000004   132 FUNC    GLOBAL DEFAULT    17 init_module
   143: 0000000000000000  1088 OBJECT  GLOBAL DEFAULT    38 __this_module
   144: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND i2c_register_driver
   145: 0000000000000004    36 FUNC    GLOBAL DEFAULT    19 cleanup_module
   146: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND i2c_del_driver
   147: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND devm_gpiod_get
   148: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND _dev_err
   149: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND gpiod_set_value
   150: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND devm_gpiod_put
   151: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND usleep_range_state
   152: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND msleep
   153: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND misc_register
   154: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND misc_deregister
   155: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND kmalloc_caches
   156: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND kmalloc_trace
   157: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND __copy_overflow
   158: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND __check_object_size
   159: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND alt_cb_patch_nops
   160: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND gic_nonsecure_priorities
   161: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND __arch_copy_to_user
   162: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND kfree
   163: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND cpu_hwcaps
   164: 0000000000000000     0 NOTYPE  GLOBAL DEFAULT   UND memdup_user
